"","","5%","95%"
"b[(Intercept) species:Common_Grackle]",3.74410621784535,3.27583195331165,4.19753384660774
"b[dreuth species:Common_Grackle]",0.465875165045192,0.0760441973152164,0.864675888892464
"b[fidino species:Common_Grackle]",-0.631657940882293,-1.1175987743215,-0.125841495585982
"b[(Intercept) species:Common_Nighthawk]",-0.763903665241369,-1.47545609234728,-0.097659388348013
"b[dreuth species:Common_Nighthawk]",-0.833363858922095,-1.68228705849424,-0.0366488342721594
"b[fidino species:Common_Nighthawk]",-1.73613418564312,-3.47219113552461,-0.29910100382536
"b[(Intercept) species:Common_Yellowthroat]",1.320373395339,0.801582086474726,1.8510991006931
"b[dreuth species:Common_Yellowthroat]",0.255920994859654,-0.0919689677869159,0.605828096452529
"b[fidino species:Common_Yellowthroat]",1.20726218245998,0.65469684282097,1.74969383464684
"b[(Intercept) species:Connecticut_Warbler]",-2.04907724646832,-2.97868722789447,-1.25100158859636
"b[dreuth species:Connecticut_Warbler]",0.622321863263996,-0.29235524654101,1.62522717840004
"b[fidino species:Connecticut_Warbler]",-0.175890937497484,-1.66842984268782,1.16942751233768
"b[(Intercept) species:Dark-eyed_Junco]",2.70624458123997,2.27513957230368,3.13052010867209
"b[dreuth species:Dark-eyed_Junco]",-0.354936179251452,-0.65383606489213,-0.0508177395394577
"b[fidino species:Dark-eyed_Junco]",0.357177450544316,-0.0886553435795069,0.82285242126351
"b[(Intercept) species:Dickcissel]",-2.0091395373816,-3.15316106571309,-1.03095747974789
"b[dreuth species:Dickcissel]",-0.391246551155788,-1.59964373721719,0.796258593706299
"b[fidino species:Dickcissel]",-0.775498466288545,-2.80998527495052,0.963760548695905
"b[(Intercept) species:Downy_Woodpecker]",0.684197570266885,0.258305919850119,1.10340307284994
"b[dreuth species:Downy_Woodpecker]",-0.627259571784253,-1.02732108139579,-0.228195160374529
"b[fidino species:Downy_Woodpecker]",1.93983345034827,1.50126842556442,2.40470409160618
"b[(Intercept) species:Eastern_Bluebird]",2.22640711683087,1.71323882754274,2.74337083234256
"b[dreuth species:Eastern_Bluebird]",-1.71035037608542,-2.0758258148984,-1.3478751276631
"b[fidino species:Eastern_Bluebird]",-3.05021967332706,-3.8476120974951,-2.32281071668274
"b[(Intercept) species:Eastern_Kingbird]",0.0843683063254848,-0.4441363281721,0.622673996690492
"b[dreuth species:Eastern_Kingbird]",-0.62983879965063,-1.10043876698122,-0.162052616783363
