"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"COCL","*","Common Chlorospingus","Chlorospingus flavopectus","CHLFLP","*","common chlorospingus"
NA,"TACH",NA,"Tacarcuna Chlorospingus","Chlorospingus tacarcunae","CHLTAC",NA,"tacarcuna chlorospingus"
NA,"PICH",NA,"Pirre Chlorospingus","Chlorospingus inornatus","CHLINO",NA,"pirre chlorospingus"
NA,"SCCH",NA,"Sooty-capped Chlorospingus","Chlorospingus pileatus","CHLPIL",NA,"sooty capped chlorospingus"
NA,"YTCH",NA,"Yellow-throated Chlorospingus","Chlorospingus flavigularis","CHLFLG","*","yellow throated chlorospingus"
NA,"ATCH",NA,"Ashy-throated Chlorospingus","Chlorospingus canigularis","CHLCAG","*","ashy throated chlorospingus"
NA,"WECT",NA,"Western Chat-Tanager","Calyptophilus tertius","CALTER",NA,"western chat tanager"
NA,"EACT",NA,"Eastern Chat-Tanager","Calyptophilus frugivorus","CALFRU",NA,"eastern chat tanager"
NA,"BPLT","*","Black-crowned Palm-Tanager","Phaenicophilus palmarum","PHAPAL",NA,"black crowned palm tanager"
NA,"GCPT",NA,"Gray-crowned Palm-Tanager","Phaenicophilus poliocephalus","PHAPOL",NA,"gray crowned palm tanager"
NA,"WWWA",NA,"White-winged Warbler","Xenoligea montana","XENMON",NA,"white winged warbler"
NA,"GTWA",NA,"Green-tailed Warbler","Microligea palustris","MICPAL",NA,"green tailed warbler"
NA,"PRTA",NA,"Puerto Rican Tanager","Nesospingus speculiferus","NESSPE",NA,"puerto rican tanager"
NA,"WESP",NA,"Western Spindalis","Spindalis zena","SPIZEN",NA,"western spindalis"
NA,"JAMS","*","Jamaican Spindalis","Spindalis nigricephala","SPINIG",NA,"jamaican spindalis"
NA,"HISP",NA,"Hispaniolan Spindalis","Spindalis dominicensis","SPDDOM","*","hispaniolan spindalis"
NA,"PRSP",NA,"Puerto Rican Spindalis","Spindalis portoricensis","SPIPOR",NA,"puerto rican spindalis"
NA,"WRET","*","Wrenthrush","Zeledonia coronata","ZELCOR",NA,"wrenthrush"
NA,"YHWA",NA,"Yellow-headed Warbler","Teretistris fernandinae","TERFER",NA,"yellow headed warbler"
NA,"ORWA",NA,"Oriente Warbler","Teretistris fornsi","TERFOR",NA,"oriente warbler"
