"ID","ModernName","Date","Time","Transect","Location","AmountSeen","IdentificationMeans","Observer","Notes","WeatherConditions","Flyover"
2913,"Black capped chickadee",3/12/2013 0:00:00,12/30/1899 8:57:00,1.00,"Nature Boardwalk",3,,"Mason Fidino",,"Overcast",0
2914,"American Crow",3/12/2013 0:00:00,12/30/1899 8:57:00,1.00,"Nature Boardwalk",1,,"Mason Fidino",,"Overcast",0
2915,"Black capped chickadee",3/12/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",2,,"Mason Fidino",,"Overcast",0
2916,"American Crow",3/12/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",1,,"Mason Fidino",,"Overcast",0
2917,"Northern Cardinal",3/12/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",5,,"Mason Fidino",,"Overcast",0
2918,"European Starling",3/12/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",1,,"Mason Fidino",,"Overcast",0
2919,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",9,,"Mason Fidino",,"Overcast",0
2920,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:12:00,1.00,"South of Conservatory",6,,"Mason Fidino",,"Overcast",0
2921,"American Crow",3/12/2013 0:00:00,12/30/1899 9:12:00,1.00,"South of Conservatory",1,,"Mason Fidino",,"Overcast",0
2922,"Canada Goose",3/12/2013 0:00:00,12/30/1899 9:12:00,1.00,"South of Conservatory",2,,"Mason Fidino",,"Overcast",0
2923,"Northern Cardinal",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",1,,"Mason Fidino",,"Overcast",0
2924,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",8,,"Mason Fidino",,"Overcast",0
2925,"American Robin",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",5,,"Mason Fidino",,"Overcast",0
2926,"Canada Goose",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",15,,"Mason Fidino",,"Overcast",0
2927,"Song sparrow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",3,,"Mason Fidino",,"Overcast",0
2928,"American Tree sparrow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",1,,"Mason Fidino",,"Overcast",0
2929,"Dark Eyed Junco",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",5,,"Mason Fidino",,"Overcast",0
2930,"American Goldfinch",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",1,,"Mason Fidino",,"Overcast",0
2931,"American Crow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",3,,"Mason Fidino",,"Overcast",0
2932,"Downy Woodpecker",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",7,,"Mason Fidino",,"Overcast",0
2933,"Toulouse Goose (domestic goose breed)",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",2,,"Mason Fidino",,"Overcast",0
2934,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",3,,"Mason Fidino",,"Overcast",0
2935,"Northern Cardinal",3/12/2013 0:00:00,12/30/1899 8:21:00,2.00,"Lincoln Park Zoo",1,,"Kelvin Limbrick",,"Overcast",0
2936,"House Sparrow",3/12/2013 0:00:00,12/30/1899 8:21:00,2.00,"Lincoln Park Zoo",1,,"Kelvin Limbrick",,"Overcast",0
2937,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 8:21:00,2.00,"Lincoln Park Zoo",5,,"Kelvin Limbrick",,"Overcast",0
2938,"Canada Goose",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",90,,"Kelvin Limbrick",,"Overcast",0
2939,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",4,,"Kelvin Limbrick",,"Overcast",0
2940,"Ring-Billed Gull",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",12,,"Kelvin Limbrick",,"Overcast",0
2941,"House Sparrow",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",25,,"Kelvin Limbrick",,"Overcast",0
2942,"American Crow",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",7,,"Kelvin Limbrick",,"Overcast",0
2943,"European Starling",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",22,,"Kelvin Limbrick",,"Overcast",0
2944,"Black capped chickadee",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",6,,"Kelvin Limbrick",,"Overcast",0
2945,"Mallard",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",61,,"Kelvin Limbrick",,"Overcast",0
2946,"American Robin",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2947,"Dark Eyed Junco",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",22,,"Kelvin Limbrick",,"Overcast",0
2948,"Pigeon",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",7,,"Kelvin Limbrick",,"Overcast",0
2949,"Downy Woodpecker",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",4,,"Kelvin Limbrick",,"Overcast",0
2950,"Red-bellied woodpecker",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2951,"Wood duck",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",17,,"Kelvin Limbrick",,"Overcast",0
2952,"Hooded Merganser",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2953,"American Coot",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2954,"Song sparrow",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",6,,"Kelvin Limbrick",,"Overcast",0
2955,"Northern Cardinal",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2956,"American Black Duck",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2957,"Gadwall",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2958,"Lesser Scaup",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",5,,"Kelvin Limbrick",,"Overcast",0
2959,"Toulouse Goose (domestic goose breed)",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2960,"Redhead",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2961,"Domestic duck species",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2962,"Common Golden-eye",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2963,"Bufflehead",3/12/2013 0:00:00,12/30/1899 8:32:00,2.00,"North Pond",3,,"Kelvin Limbrick",,"Overcast",0
2964,"American Crow",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",14,,"Kelvin Limbrick",,"Overcast",0
2965,"Downy Woodpecker",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2966,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",7,,"Kelvin Limbrick",,"Overcast",0
2967,"Ring-Billed Gull",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",26,,"Kelvin Limbrick",,"Overcast",0
2968,"Canada Goose",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",9,,"Kelvin Limbrick",,"Overcast",0
2969,"American Robin",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2970,"Song sparrow",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2971,"Red-breasted Merganser",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",7,,"Kelvin Limbrick",,"Overcast",0
2972,"Dark Eyed Junco",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",3,,"Kelvin Limbrick",,"Overcast",0
2973,"Common Golden-eye",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",4,,"Kelvin Limbrick",,"Overcast",0
2974,"European Starling",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",11,,"Kelvin Limbrick",,"Overcast",0
2975,"Common Grackle",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2976,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2977,"Redhead",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2978,"Mallard",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",2,,"Kelvin Limbrick",,"Overcast",0
2979,"Eastern Bluebird",3/12/2013 0:00:00,12/30/1899 9:11:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Overcast",0
2980,"Pigeon",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",2,,"Kelvin Limbrick",,"Overcast",0
2981,"Ring-Billed Gull",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",34,,"Kelvin Limbrick",,"Overcast",0
2982,"American Crow",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",9,,"Kelvin Limbrick",,"Overcast",0
2983,"Killdeer",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",1,,"Kelvin Limbrick",,"Overcast",0
2984,"Canada Goose",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",68,,"Kelvin Limbrick",,"Overcast",0
2985,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",2,,"Kelvin Limbrick",,"Overcast",0
2986,"Black capped chickadee",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",1,,"Kelvin Limbrick",,"Overcast",0
2987,"Lesser Scaup",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",3,,"Kelvin Limbrick",,"Overcast",0
2988,"Common Golden-eye",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",52,,"Kelvin Limbrick",,"Overcast",0
2989,"Downy Woodpecker",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",1,,"Kelvin Limbrick",,"Overcast",0
2990,"Mallard",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",19,,"Kelvin Limbrick",,"Overcast",0
2991,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",6,,"Kelvin Limbrick",,"Overcast",0
2992,"Red-breasted Merganser",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",28,,"Kelvin Limbrick",,"Overcast",0
2993,"American Robin",3/12/2013 0:00:00,12/30/1899 9:30:00,3.00,"Canal",2,,"Kelvin Limbrick",,"Overcast",0
2994,"Ring-Billed Gull",3/12/2013 0:00:00,12/30/1899 10:18:00,3.00,"South of Nature Boardwalk",,,"Kelvin Limbrick",,"Overcast",0
2995,"American Crow",3/12/2013 0:00:00,12/30/1899 10:18:00,3.00,"South of Nature Boardwalk",3,,"Kelvin Limbrick",,"Overcast",0
2996,"House Sparrow",3/12/2013 0:00:00,12/30/1899 10:18:00,3.00,"South of Nature Boardwalk",1,,"Kelvin Limbrick",,"Overcast",0
2997,"Canada Goose",3/12/2013 0:00:00,12/30/1899 10:18:00,3.00,"South of Nature Boardwalk",1,,"Kelvin Limbrick",,"Overcast",0
2998,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 10:18:00,3.00,"South of Nature Boardwalk",1,,"Kelvin Limbrick",,"Overcast",0
2999,"American Crow",3/13/2013 0:00:00,12/30/1899 8:39:00,3.00,"South of Nature Boardwalk",5,,"Kelvin Limbrick",,"Cloudy",0
3000,"Pigeon",3/13/2013 0:00:00,12/30/1899 8:39:00,3.00,"South of Nature Boardwalk",1,,"Kelvin Limbrick",,"Cloudy",0
3001,"House Sparrow",3/13/2013 0:00:00,12/30/1899 8:39:00,3.00,"South of Nature Boardwalk",8,,"Kelvin Limbrick",,"Cloudy",0
3002,"Ring-Billed Gull",3/13/2013 0:00:00,12/30/1899 8:39:00,3.00,"South of Nature Boardwalk",5,,"Kelvin Limbrick",,"Cloudy",0
3003,"Canada Goose",3/13/2013 0:00:00,12/30/1899 8:39:00,3.00,"South of Nature Boardwalk",32,,"Kelvin Limbrick",,"Cloudy",0
3004,"Ring-Billed Gull",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",22,,"Kelvin Limbrick",,"Cloudy",0
3005,"Canada Goose",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",62,,"Kelvin Limbrick",,"Cloudy",0
3006,"American Crow",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",13,,"Kelvin Limbrick",,"Cloudy",0
3007,"Red-breasted Merganser",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",18,,"Kelvin Limbrick",,"Cloudy",0
3008,"American Robin",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",1,,"Kelvin Limbrick",,"Cloudy",0
3009,"Black capped chickadee",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",2,,"Kelvin Limbrick",,"Cloudy",0
3010,"Song sparrow",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",2,,"Kelvin Limbrick",,"Cloudy",0
3011,"House Sparrow",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",4,,"Kelvin Limbrick",,"Cloudy",0
3012,"Common Golden-eye",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",103,,"Kelvin Limbrick",,"Cloudy",0
3013,"Lesser Scaup",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",9,,"Kelvin Limbrick",,"Cloudy",0
3014,"Mallard",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",16,,"Kelvin Limbrick",,"Cloudy",0
3015,"European Starling",3/13/2013 0:00:00,12/30/1899 8:51:00,3.00,"Canal",4,,"Kelvin Limbrick",,"Cloudy",0
3016,"Ring-Billed Gull",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",10,,"Kelvin Limbrick",,"Cloudy",0
3017,"Mallard",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3018,"Red-winged Blackbird",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3019,"Common Golden-eye",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",4,,"Kelvin Limbrick",,"Cloudy",0
3020,"Canada Goose",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",37,,"Kelvin Limbrick",,"Cloudy",0
3021,"Downy Woodpecker",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3022,"House Sparrow",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",3,,"Kelvin Limbrick",,"Cloudy",0
3023,"American Crow",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",4,,"Kelvin Limbrick",,"Cloudy",0
3024,"Black capped chickadee",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3025,"Lesser Scaup",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3026,"Red-breasted Merganser",3/13/2013 0:00:00,12/30/1899 9:30:00,3.00,"North Pond",6,,"Kelvin Limbrick",,"Cloudy",0
3027,"Downy Woodpecker",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3028,"Dark Eyed Junco",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",16,,"Kelvin Limbrick",,"Cloudy",0
3029,"Canada Goose",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",14,,"Kelvin Limbrick",,"Cloudy",0
3030,"Ring-Billed Gull",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",8,,"Kelvin Limbrick",,"Cloudy",0
3031,"American Tree sparrow",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3032,"House Sparrow",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",29,,"Kelvin Limbrick",,"Cloudy",0
3033,"Red-winged Blackbird",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",7,,"Kelvin Limbrick",,"Cloudy",0
3034,"Bufflehead",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",8,,"Kelvin Limbrick",,"Cloudy",0
3035,"Mallard",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",62,,"Kelvin Limbrick",,"Cloudy",0
3036,"Domestic duck species",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3037,"American Crow",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",6,,"Kelvin Limbrick",,"Cloudy",0
3038,"Fox sparrow",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3039,"Horned Grebe",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3040,"Common Golden-eye",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",3,,"Kelvin Limbrick",,"Cloudy",0
3041,"Hooded Merganser",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",3,,"Kelvin Limbrick",,"Cloudy",0
3042,"Lesser Scaup",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",4,,"Kelvin Limbrick",,"Cloudy",0
3043,"American Coot",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3044,"Gadwall",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3045,"Redhead",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3046,"Black capped chickadee",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3047,"Toulouse Goose (domestic goose breed)",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3048,"Pigeon",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",6,,"Kelvin Limbrick",,"Cloudy",0
3049,"Common Grackle",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3050,"Northern Cardinal",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3051,"Song sparrow",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",2,,"Kelvin Limbrick",,"Cloudy",0
3052,"Wood duck",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",5,,"Kelvin Limbrick",,"Cloudy",0
3053,"European Starling",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",3,,"Kelvin Limbrick",,"Cloudy",0
3054,"Red-breasted Nuthatch",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3055,"Black capped chickadee",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",4,,"Kelvin Limbrick",,"Cloudy",0
3056,"Hairy Woodpecker",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3057,"Turkey Vulture",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",1
3058,"Herring Gull",3/13/2013 0:00:00,12/30/1899 9:49:00,2.00,"North Pond",1,,"Kelvin Limbrick",,"Cloudy",0
3059,"Dark Eyed Junco",3/13/2013 0:00:00,12/30/1899 10:43:00,2.00,"Lincoln Park Zoo",1,,"Kelvin Limbrick",,"Cloudy",0
3060,"American Crow",3/13/2013 0:00:00,12/30/1899 10:43:00,2.00,"Lincoln Park Zoo",1,,"Kelvin Limbrick",,"Cloudy",0
3061,"House Sparrow",3/13/2013 0:00:00,12/30/1899 10:43:00,2.00,"Lincoln Park Zoo",5,,"Kelvin Limbrick",,"Cloudy",0
3062,"Northern Cardinal",3/13/2013 0:00:00,12/30/1899 10:43:00,2.00,"Lincoln Park Zoo",1,,"Kelvin Limbrick",,"Cloudy",0
3063,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:12:00,1.00,"South of Conservatory",6,,"Mason Fidino",,"Overcast",0
3064,"American Crow",3/12/2013 0:00:00,12/30/1899 9:12:00,1.00,"South of Conservatory",1,,"Mason Fidino",,"Overcast",0
3065,"Canada Goose",3/12/2013 0:00:00,12/30/1899 9:12:00,1.00,"South of Conservatory",2,,"Mason Fidino",,"Overcast",0
3066,"Northern Cardinal",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",1,,"Mason Fidino",,"Overcast",0
3067,"House Sparrow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",8,,"Mason Fidino",,"Overcast",0
3068,"American Robin",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",5,,"Mason Fidino",,"Overcast",0
3069,"Canada Goose",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",15,,"Mason Fidino",,"Overcast",0
3070,"Song sparrow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",3,,"Mason Fidino",,"Overcast",0
3071,"American Tree sparrow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",1,,"Mason Fidino",,"Overcast",0
3072,"Dark Eyed Junco",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",5,,"Mason Fidino",,"Overcast",0
3073,"American Goldfinch",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",1,,"Mason Fidino",,"Overcast",0
3074,"American Crow",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",3,,"Mason Fidino",,"Overcast",0
3075,"Downy Woodpecker",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",7,,"Mason Fidino",,"Overcast",0
3076,"Toulouse Goose (domestic goose breed)",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",2,,"Mason Fidino",,"Overcast",0
3077,"Red-winged Blackbird",3/12/2013 0:00:00,12/30/1899 9:23:00,1.00,"North Pond",3,,"Mason Fidino",,"Overcast",0
3078,"House Sparrow",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",5,,"Mason Fidino",,"Cloudy",0
3079,"Red-winged Blackbird",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",6,,"Mason Fidino",,"Cloudy",0
3080,"Northern Cardinal",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",1,,"Mason Fidino",,"Cloudy",0
3081,"American Crow",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",3,,"Mason Fidino",,"Cloudy",0
3082,"European Starling",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",1,,"Mason Fidino",,"Cloudy",0
3083,"Downy Woodpecker",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",1,,"Mason Fidino",,"Cloudy",0
3084,"Red-bellied woodpecker",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",1,,"Mason Fidino",,"Cloudy",0
3085,"Song sparrow",3/13/2013 0:00:00,12/30/1899 8:30:00,1.00,"North Pond",2,,"Mason Fidino",,"Cloudy",0
3086,"American Crow",3/13/2013 0:00:00,12/30/1899 8:54:00,1.00,"South of Conservatory",1,,"Mason Fidino",,"Cloudy",0
3087,"House Sparrow",3/13/2013 0:00:00,12/30/1899 8:54:00,1.00,"South of Conservatory",6,,"Mason Fidino",,"Cloudy",0
3088,"Black capped chickadee",3/13/2013 0:00:00,12/30/1899 8:54:00,1.00,"South of Conservatory",2,,"Mason Fidino",,"Cloudy",0
3089,"American Robin",3/13/2013 0:00:00,12/30/1899 8:54:00,1.00,"South of Conservatory",1,,"Mason Fidino",,"Cloudy",0
3090,"Northern Cardinal",3/13/2013 0:00:00,12/30/1899 8:54:00,1.00,"South of Conservatory",1,,"Mason Fidino",,"Cloudy",0
3091,"Ring-Billed Gull",3/13/2013 0:00:00,12/30/1899 8:54:00,1.00,"South of Conservatory",4,,"Mason Fidino",,"Cloudy",1
3092,"Common Grackle",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",3,,"Mason Fidino",,"Cloudy",0
3093,"House Sparrow",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",10,,"Mason Fidino",,"Cloudy",0
3094,"European Starling",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",4,,"Mason Fidino",,"Cloudy",0
3095,"Pigeon",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",2,,"Mason Fidino",,"Cloudy",0
3096,"Black capped chickadee",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",2,,"Mason Fidino",,"Cloudy",0
3097,"Northern Cardinal",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",3,,"Mason Fidino",,"Cloudy",0
3098,"American Crow",3/13/2013 0:00:00,12/30/1899 9:03:00,1.00,"Lincoln Park Zoo",2,,"Mason Fidino",,"Cloudy",0
3099,"House Sparrow",3/13/2013 0:00:00,12/30/1899 9:11:00,1.00,"Nature Boardwalk",10,,"Mason Fidino",,"Cloudy",0
3100,"American Robin",3/13/2013 0:00:00,12/30/1899 9:11:00,1.00,"Nature Boardwalk",3,,"Mason Fidino",,"Cloudy",0
3101,"Mourning Dove",3/13/2013 0:00:00,12/30/1899 9:11:00,1.00,"Nature Boardwalk",1,,"Mason Fidino",,"Cloudy",0
3102,"American Crow",3/13/2013 0:00:00,12/30/1899 9:11:00,1.00,"Nature Boardwalk",4,,"Mason Fidino",,"Cloudy",0
3103,"Northern Cardinal",3/13/2013 0:00:00,12/30/1899 9:11:00,1.00,"Nature Boardwalk",1,,"Mason Fidino",,"Cloudy",0
