"","ModernName","Year","arrival"
"173","dark eyed junco",2015,2015-03-03
"174","double crested cormorant",2012,2012-04-27
"175","double crested cormorant",2013,2013-04-04
"176","double crested cormorant",2014,2014-05-19
"177","double crested cormorant",2015,2015-04-24
"178","downy woodpecker",2012,2012-03-05
"179","downy woodpecker",2013,2013-03-01
"180","downy woodpecker",2014,2014-03-07
"181","downy woodpecker",2015,2015-03-03
"182","eastern bluebird",2013,2013-04-23
"183","eastern bluebird",2014,2014-04-29
"184","eastern kingbird",2012,2012-05-19
"185","eastern kingbird",2013,2013-05-01
"186","eastern kingbird",2014,2014-05-11
"187","eastern kingbird",2015,2015-05-09
"188","eastern meadowlark",2012,2012-03-20
"189","eastern meadowlark",2013,2013-04-05
"190","eastern meadowlark",2014,2014-04-30
"191","eastern meadowlark",2015,2015-03-31
"192","eastern phoebe",2012,2012-03-08
"193","eastern phoebe",2013,2013-04-01
"194","eastern phoebe",2014,2014-03-31
"195","eastern phoebe",2015,2015-03-31
"196","eastern towhee",2012,2012-05-13
"197","eastern towhee",2013,2013-04-08
"198","eastern towhee",2014,2014-04-18
"199","eastern towhee",2015,2015-04-06
"200","eastern wood pewee",2012,2012-05-08
"201","eastern wood pewee",2013,2013-05-10
"202","eastern wood pewee",2014,2014-05-14
"203","eastern wood pewee",2015,2015-05-07
"204","european starling",2012,2012-03-01
"205","european starling",2013,2013-03-02
"206","european starling",2014,2014-03-07
"207","european starling",2015,2015-03-02
"208","field sparrow",2012,2012-03-26
"209","field sparrow",2013,2013-04-05
"210","field sparrow",2014,2014-04-07
"211","field sparrow",2015,2015-04-10
"212","fox sparrow",2012,2012-05-12
"213","fox sparrow",2013,2013-03-13
"214","fox sparrow",2014,2014-03-20
"215","fox sparrow",2015,2015-03-16
"216","gadwall",2012,2012-03-01
"217","gadwall",2013,2013-03-04
"218","gadwall",2014,2014-05-20
"219","gadwall",2015,2015-03-24
"220","golden crowned kinglet",2013,2013-04-05
"221","golden crowned kinglet",2014,2014-04-01
"222","golden crowned kinglet",2015,2015-04-01
"223","golden winged warbler",2013,2013-05-14
"224","golden winged warbler",2014,2014-05-19
"225","gray catbird",2012,2012-05-07
"226","gray catbird",2013,2013-05-01
"227","gray catbird",2014,2014-04-30
"228","gray catbird",2015,2015-05-04
"229","gray cheeked thrush",2012,2012-05-20
"230","gray cheeked thrush",2013,2013-05-11
"231","gray cheeked thrush",2014,2014-05-11
"232","gray cheeked thrush",2015,2015-05-06
"233","great blue heron",2013,2013-05-13
"234","great blue heron",2014,2014-04-10
"235","great blue heron",2015,2015-04-30
"236","great crested flycatcher",2012,2012-05-19
"237","great crested flycatcher",2013,2013-05-14
"238","great crested flycatcher",2014,2014-05-07
"239","great crested flycatcher",2015,2015-05-04
"240","great horned owl",2015,2015-04-03
"241","green heron",2012,2012-04-19
"242","green heron",2013,2013-04-30
"243","green heron",2014,2014-04-24
"244","green heron",2015,2015-04-27
