"species","year","daySeen","observer"
"Ring-billed Gull",1928,1,"Dreuth"
"Ring-billed Gull",1930,2,"Dreuth"
"Ring-billed Gull",1932,1,"Dreuth"
"Ring-necked Duck",1931,2,"Dreuth"
"Rose-breasted Grosbeak",1927,3,"Dreuth"
"Rose-breasted Grosbeak",1928,10,"Dreuth"
"Rose-breasted Grosbeak",1929,11,"Dreuth"
"Rose-breasted Grosbeak",1930,4,"Dreuth"
"Rose-breasted Grosbeak",1931,4,"Dreuth"
"Rose-breasted Grosbeak",1932,4,"Dreuth"
"Ruby-crowned Kinglet",1927,3,"Dreuth"
"Ruby-crowned Kinglet",1928,13,"Dreuth"
"Ruby-crowned Kinglet",1929,38,"Dreuth"
"Ruby-crowned Kinglet",1930,23,"Dreuth"
"Ruby-crowned Kinglet",1931,14,"Dreuth"
"Ruby-crowned Kinglet",1932,26,"Dreuth"
"Ruby-throated Hummingbird",1928,2,"Dreuth"
"Ruby-throated Hummingbird",1929,6,"Dreuth"
"Ruby-throated Hummingbird",1930,4,"Dreuth"
"Ruby-throated Hummingbird",1931,2,"Dreuth"
"Ruby-throated Hummingbird",1932,2,"Dreuth"
"Ruddy Duck",1928,1,"Dreuth"
"Ruddy Duck",1929,1,"Dreuth"
"Rusty Blackbird",1927,1,"Dreuth"
"Rusty Blackbird",1929,7,"Dreuth"
"Rusty Blackbird",1930,5,"Dreuth"
"Rusty Blackbird",1931,5,"Dreuth"
"Rusty Blackbird",1932,1,"Dreuth"
"Sanderling",1929,1,"Dreuth"
"Sanderling",1930,1,"Dreuth"
"Savannah Sparrow",1927,1,"Dreuth"
"Savannah Sparrow",1928,6,"Dreuth"
"Savannah Sparrow",1929,9,"Dreuth"
"Savannah Sparrow",1930,18,"Dreuth"
"Savannah Sparrow",1931,19,"Dreuth"
"Savannah Sparrow",1932,13,"Dreuth"
"Scarlet Tanager",1927,2,"Dreuth"
"Scarlet Tanager",1928,6,"Dreuth"
"Scarlet Tanager",1929,4,"Dreuth"
"Scarlet Tanager",1930,10,"Dreuth"
"Scarlet Tanager",1931,9,"Dreuth"
"Scarlet Tanager",1932,8,"Dreuth"
"Sharp-shinned Hawk",1931,1,"Dreuth"
"Solitary Sandpiper",1928,1,"Dreuth"
"Solitary Sandpiper",1929,1,"Dreuth"
"Solitary Sandpiper",1930,2,"Dreuth"
"Solitary Sandpiper",1931,1,"Dreuth"
"Solitary Sandpiper",1932,5,"Dreuth"
"Song Sparrow",1927,9,"Dreuth"
"Song Sparrow",1928,10,"Dreuth"
"Song Sparrow",1929,34,"Dreuth"
"Song Sparrow",1930,28,"Dreuth"
"Song Sparrow",1931,31,"Dreuth"
"Song Sparrow",1932,31,"Dreuth"
"Sora",1927,2,"Dreuth"
"Sora",1929,4,"Dreuth"
"Sora",1930,7,"Dreuth"
"Sora",1931,1,"Dreuth"
"Sora",1932,7,"Dreuth"
"Spotted Sandpiper",1928,22,"Dreuth"
"Spotted Sandpiper",1929,14,"Dreuth"
"Spotted Sandpiper",1930,22,"Dreuth"
"Spotted Sandpiper",1931,15,"Dreuth"
"Spotted Sandpiper",1932,14,"Dreuth"
"Summer Tanager",1931,1,"Dreuth"
"Swainson's Thrush",1927,5,"Dreuth"
"Swainson's Thrush",1928,28,"Dreuth"
"Swainson's Thrush",1929,32,"Dreuth"
"Swainson's Thrush",1930,25,"Dreuth"
"Swainson's Thrush",1931,14,"Dreuth"
"Swainson's Thrush",1932,27,"Dreuth"
"Swamp Sparrow",1927,6,"Dreuth"
"Swamp Sparrow",1928,15,"Dreuth"
"Swamp Sparrow",1929,36,"Dreuth"
"Swamp Sparrow",1930,18,"Dreuth"
"Swamp Sparrow",1931,27,"Dreuth"
"Swamp Sparrow",1932,24,"Dreuth"
"Tennessee Warbler",1927,1,"Dreuth"
"Tennessee Warbler",1928,3,"Dreuth"
"Tennessee Warbler",1929,3,"Dreuth"
"Tennessee Warbler",1930,4,"Dreuth"
"Tennessee Warbler",1931,7,"Dreuth"
"Tennessee Warbler",1932,3,"Dreuth"
"Tree Swallow",1929,2,"Dreuth"
"Tree Swallow",1931,2,"Dreuth"
"Tree Swallow",1932,3,"Dreuth"
"Veery",1927,2,"Dreuth"
"Veery",1928,17,"Dreuth"
"Veery",1929,13,"Dreuth"
"Veery",1930,10,"Dreuth"
"Veery",1931,11,"Dreuth"
"Veery",1932,2,"Dreuth"
"Vesper Sparrow",1927,1,"Dreuth"
"Vesper Sparrow",1929,2,"Dreuth"
"Vesper Sparrow",1930,5,"Dreuth"
"Vesper Sparrow",1931,4,"Dreuth"
"Vesper Sparrow",1932,8,"Dreuth"
"Virginia Rail",1930,1,"Dreuth"
"Warbling Vireo",1927,2,"Dreuth"
"Warbling Vireo",1928,3,"Dreuth"
"Warbling Vireo",1929,1,"Dreuth"
"Warbling Vireo",1930,3,"Dreuth"
"Warbling Vireo",1931,4,"Dreuth"
"Warbling Vireo",1932,8,"Dreuth"
"White-breasted Nuthatch",1928,1,"Dreuth"
"White-breasted Nuthatch",1930,11,"Dreuth"
"White-crowned Sparrow",1927,2,"Dreuth"
"White-crowned Sparrow",1928,15,"Dreuth"
"White-crowned Sparrow",1929,21,"Dreuth"
"White-crowned Sparrow",1930,22,"Dreuth"
"White-crowned Sparrow",1931,17,"Dreuth"
"White-crowned Sparrow",1932,15,"Dreuth"
"White-throated Sparrow",1927,9,"Dreuth"
"White-throated Sparrow",1928,26,"Dreuth"
"White-throated Sparrow",1929,41,"Dreuth"
"White-throated Sparrow",1930,36,"Dreuth"
"White-throated Sparrow",1931,31,"Dreuth"
"White-throated Sparrow",1932,30,"Dreuth"
"Wilson's Snipe",1930,1,"Dreuth"
"Wilson's Snipe",1931,3,"Dreuth"
"Wilson's Snipe",1932,1,"Dreuth"
"Wilson's Warbler",1927,4,"Dreuth"
"Wilson's Warbler",1928,10,"Dreuth"
"Wilson's Warbler",1929,15,"Dreuth"
"Wilson's Warbler",1930,19,"Dreuth"
"Wilson's Warbler",1931,13,"Dreuth"
"Wilson's Warbler",1932,16,"Dreuth"
"Winter Wren",1929,1,"Dreuth"
"Winter Wren",1931,1,"Dreuth"
"Winter Wren",1932,2,"Dreuth"
"Wood Thrush",1927,2,"Dreuth"
"Wood Thrush",1928,5,"Dreuth"
"Wood Thrush",1929,3,"Dreuth"
"Wood Thrush",1930,3,"Dreuth"
"Wood Thrush",1931,1,"Dreuth"
"Wood Thrush",1932,3,"Dreuth"
"Yellow-bellied Flycatcher",1927,3,"Dreuth"
"Yellow-bellied Flycatcher",1928,3,"Dreuth"
"Yellow-bellied Flycatcher",1929,5,"Dreuth"
"Yellow-bellied Flycatcher",1930,7,"Dreuth"
"Yellow-bellied Flycatcher",1931,8,"Dreuth"
"Yellow-bellied Flycatcher",1932,9,"Dreuth"
"Yellow-bellied Sapsucker",1928,7,"Dreuth"
"Yellow-bellied Sapsucker",1929,28,"Dreuth"
"Yellow-bellied Sapsucker",1930,19,"Dreuth"
"Yellow-bellied Sapsucker",1931,20,"Dreuth"
"Yellow-bellied Sapsucker",1932,16,"Dreuth"
"Yellow-billed Cuckoo",1929,2,"Dreuth"
"Yellow-billed Cuckoo",1930,1,"Dreuth"
"Yellow-billed Cuckoo",1932,4,"Dreuth"
"Yellow-breasted Chat",1928,1,"Dreuth"
"Yellow-breasted Chat",1930,1,"Dreuth"
"Yellow-headed Blackbird",1929,1,"Dreuth"
"Yellow-rumped Warbler",1927,7,"Dreuth"
"Yellow-rumped Warbler",1928,23,"Dreuth"
"Yellow-rumped Warbler",1929,35,"Dreuth"
"Yellow-rumped Warbler",1930,25,"Dreuth"
"Yellow-rumped Warbler",1931,31,"Dreuth"
"Yellow-rumped Warbler",1932,28,"Dreuth"
"Yellow-throated Vireo",1929,2,"Dreuth"
"Yellow-throated Vireo",1931,2,"Dreuth"
"Yellow Warbler",1927,3,"Dreuth"
"Yellow Warbler",1928,19,"Dreuth"
"Yellow Warbler",1929,11,"Dreuth"
"Yellow Warbler",1930,13,"Dreuth"
"Yellow Warbler",1931,20,"Dreuth"
"Yellow Warbler",1932,23,"Dreuth"
"Acadian Flycatcher",2012,0,"Fidino"
"Acadian Flycatcher",2013,1,"Fidino"
"Acadian Flycatcher",2014,0,"Fidino"
"Acadian Flycatcher",2015,0,"Fidino"
"American Black Duck",2012,0,"Fidino"
"American Black Duck",2013,7,"Fidino"
"American Black Duck",2014,1,"Fidino"
"American Black Duck",2015,2,"Fidino"
"American Coot",2012,36,"Fidino"
"American Coot",2013,29,"Fidino"
"American Coot",2014,31,"Fidino"
"American Coot",2015,29,"Fidino"
"American Crow",2012,41,"Fidino"
"American Crow",2013,67,"Fidino"
"American Crow",2014,55,"Fidino"
"American Crow",2015,47,"Fidino"
"American Goldfinch",2012,20,"Fidino"
"American Goldfinch",2013,35,"Fidino"
"American Goldfinch",2014,32,"Fidino"
"American Goldfinch",2015,25,"Fidino"
"American Kestrel",2012,1,"Fidino"
"American Kestrel",2013,2,"Fidino"
"American Kestrel",2014,0,"Fidino"
"American Kestrel",2015,3,"Fidino"
"American Pipit",2012,0,"Fidino"
"American Pipit",2013,0,"Fidino"
"American Pipit",2014,1,"Fidino"
"American Pipit",2015,0,"Fidino"
"American Redstart",2012,12,"Fidino"
"American Redstart",2013,18,"Fidino"
"American Redstart",2014,15,"Fidino"
"American Redstart",2015,12,"Fidino"
"American Robin",2012,38,"Fidino"
"American Robin",2013,58,"Fidino"
"American Robin",2014,51,"Fidino"
"American Robin",2015,42,"Fidino"
"American Tree Sparrow",2012,12,"Fidino"
"American Tree Sparrow",2013,14,"Fidino"
"American Tree Sparrow",2014,19,"Fidino"
"American Tree Sparrow",2015,2,"Fidino"
"American Wigeon",2012,0,"Fidino"
"American Wigeon",2013,1,"Fidino"
"American Wigeon",2014,0,"Fidino"
"American Wigeon",2015,0,"Fidino"
"American Woodcock",2012,1,"Fidino"
"American Woodcock",2013,1,"Fidino"
"American Woodcock",2014,2,"Fidino"
"American Woodcock",2015,0,"Fidino"
"Baltimore Oriole",2012,5,"Fidino"
"Baltimore Oriole",2013,17,"Fidino"
"Baltimore Oriole",2014,16,"Fidino"
"Baltimore Oriole",2015,12,"Fidino"
"Bank Swallow",2012,0,"Fidino"
"Bank Swallow",2013,0,"Fidino"
"Bank Swallow",2014,1,"Fidino"
"Bank Swallow",2015,0,"Fidino"
"Barn Swallow",2012,18,"Fidino"
"Barn Swallow",2013,34,"Fidino"
"Barn Swallow",2014,21,"Fidino"
"Barn Swallow",2015,16,"Fidino"
"Bay-breasted Warbler",2012,1,"Fidino"
"Bay-breasted Warbler",2013,1,"Fidino"
"Bay-breasted Warbler",2014,2,"Fidino"
"Bay-breasted Warbler",2015,0,"Fidino"
"Belted Kingfisher",2012,7,"Fidino"
"Belted Kingfisher",2013,18,"Fidino"
"Belted Kingfisher",2014,8,"Fidino"
"Belted Kingfisher",2015,6,"Fidino"
"Black-and-white Warbler",2012,5,"Fidino"
"Black-and-white Warbler",2013,20,"Fidino"
"Black-and-white Warbler",2014,14,"Fidino"
"Black-and-white Warbler",2015,6,"Fidino"
"Black-capped Chickadee",2012,18,"Fidino"
"Black-capped Chickadee",2013,58,"Fidino"
"Black-capped Chickadee",2014,50,"Fidino"
"Black-capped Chickadee",2015,43,"Fidino"
"Black-crowned Night-Heron",2012,57,"Fidino"
"Black-crowned Night-Heron",2013,67,"Fidino"
"Black-crowned Night-Heron",2014,46,"Fidino"
"Black-crowned Night-Heron",2015,31,"Fidino"
"Black-throated Blue Warbler",2012,0,"Fidino"
"Black-throated Blue Warbler",2013,1,"Fidino"
"Black-throated Blue Warbler",2014,2,"Fidino"
"Black-throated Blue Warbler",2015,3,"Fidino"
"Black-throated Green Warbler",2012,3,"Fidino"
"Black-throated Green Warbler",2013,6,"Fidino"
"Black-throated Green Warbler",2014,5,"Fidino"
"Black-throated Green Warbler",2015,6,"Fidino"
"Blackburnian Warbler",2012,3,"Fidino"
"Blackburnian Warbler",2013,5,"Fidino"
"Blackburnian Warbler",2014,6,"Fidino"
"Blackburnian Warbler",2015,3,"Fidino"
"Blackpoll Warbler",2012,7,"Fidino"
"Blackpoll Warbler",2013,9,"Fidino"
"Blackpoll Warbler",2014,5,"Fidino"
"Blackpoll Warbler",2015,5,"Fidino"
"Blue-gray Gnatcatcher",2012,7,"Fidino"
"Blue-gray Gnatcatcher",2013,18,"Fidino"
"Blue-gray Gnatcatcher",2014,18,"Fidino"
"Blue-gray Gnatcatcher",2015,16,"Fidino"
"Blue-headed Vireo",2012,0,"Fidino"
"Blue-headed Vireo",2013,3,"Fidino"
"Blue-headed Vireo",2014,3,"Fidino"
"Blue-headed Vireo",2015,1,"Fidino"
"Blue Jay",2012,4,"Fidino"
"Blue Jay",2013,16,"Fidino"
"Blue Jay",2014,13,"Fidino"
"Blue Jay",2015,4,"Fidino"
"Blue-winged Teal",2012,11,"Fidino"
"Blue-winged Teal",2013,6,"Fidino"
"Blue-winged Teal",2014,11,"Fidino"
"Blue-winged Teal",2015,5,"Fidino"
"Blue-winged Warbler",2012,0,"Fidino"
"Blue-winged Warbler",2013,0,"Fidino"
"Blue-winged Warbler",2014,0,"Fidino"
"Blue-winged Warbler",2015,2,"Fidino"
"Brewer's Blackbird",2012,0,"Fidino"
"Brewer's Blackbird",2013,2,"Fidino"
"Brewer's Blackbird",2014,0,"Fidino"
"Brewer's Blackbird",2015,0,"Fidino"
"Brown Creeper",2012,5,"Fidino"
"Brown Creeper",2013,16,"Fidino"
"Brown Creeper",2014,15,"Fidino"
"Brown Creeper",2015,13,"Fidino"
"Brown-headed Cowbird",2012,7,"Fidino"
"Brown-headed Cowbird",2013,17,"Fidino"
"Brown-headed Cowbird",2014,9,"Fidino"
"Brown-headed Cowbird",2015,8,"Fidino"
"Brown Thrasher",2012,3,"Fidino"
"Brown Thrasher",2013,22,"Fidino"
"Brown Thrasher",2014,14,"Fidino"
"Brown Thrasher",2015,11,"Fidino"
"Bufflehead",2012,1,"Fidino"
"Bufflehead",2013,25,"Fidino"
"Bufflehead",2014,15,"Fidino"
"Bufflehead",2015,3,"Fidino"
"Canada Goose",2012,57,"Fidino"
"Canada Goose",2013,67,"Fidino"
"Canada Goose",2014,55,"Fidino"
"Canada Goose",2015,48,"Fidino"
"Canada Warbler",2012,3,"Fidino"
"Canada Warbler",2013,5,"Fidino"
"Canada Warbler",2014,4,"Fidino"
"Canada Warbler",2015,3,"Fidino"
"Cape May Warbler",2012,6,"Fidino"
"Cape May Warbler",2013,5,"Fidino"
"Cape May Warbler",2014,6,"Fidino"
"Cape May Warbler",2015,2,"Fidino"
"Caspian Tern",2012,19,"Fidino"
"Caspian Tern",2013,31,"Fidino"
"Caspian Tern",2014,12,"Fidino"
"Caspian Tern",2015,6,"Fidino"
"Cedar Waxwing",2012,3,"Fidino"
"Cedar Waxwing",2013,4,"Fidino"
"Cedar Waxwing",2014,2,"Fidino"
"Cedar Waxwing",2015,1,"Fidino"
"Cerulean Warbler",2012,0,"Fidino"
"Cerulean Warbler",2013,0,"Fidino"
"Cerulean Warbler",2014,3,"Fidino"
"Cerulean Warbler",2015,0,"Fidino"
"Chestnut-sided Warbler",2012,8,"Fidino"
"Chestnut-sided Warbler",2013,11,"Fidino"
"Chestnut-sided Warbler",2014,9,"Fidino"
"Chestnut-sided Warbler",2015,5,"Fidino"
"Chimney Swift",2012,12,"Fidino"
"Chimney Swift",2013,14,"Fidino"
"Chimney Swift",2014,17,"Fidino"
"Chimney Swift",2015,11,"Fidino"
"Chipping Sparrow",2012,2,"Fidino"
"Chipping Sparrow",2013,20,"Fidino"
"Chipping Sparrow",2014,13,"Fidino"
"Chipping Sparrow",2015,11,"Fidino"
"Clay-colored Sparrow",2012,1,"Fidino"
"Clay-colored Sparrow",2013,3,"Fidino"
"Clay-colored Sparrow",2014,4,"Fidino"
"Clay-colored Sparrow",2015,3,"Fidino"
"Cliff Swallow",2012,0,"Fidino"
"Cliff Swallow",2013,0,"Fidino"
"Cliff Swallow",2014,7,"Fidino"
"Cliff Swallow",2015,0,"Fidino"
"Common Goldeneye",2012,1,"Fidino"
"Common Goldeneye",2013,22,"Fidino"
"Common Goldeneye",2014,5,"Fidino"
"Common Goldeneye",2015,3,"Fidino"
"Common Grackle",2012,39,"Fidino"
"Common Grackle",2013,57,"Fidino"
"Common Grackle",2014,50,"Fidino"
"Common Grackle",2015,40,"Fidino"
"Common Merganser",2012,0,"Fidino"
"Common Merganser",2013,0,"Fidino"
"Common Merganser",2014,6,"Fidino"
"Common Merganser",2015,0,"Fidino"
"Common Yellowthroat",2012,11,"Fidino"
"Common Yellowthroat",2013,22,"Fidino"
"Common Yellowthroat",2014,18,"Fidino"
"Common Yellowthroat",2015,13,"Fidino"
"Connecticut Warbler",2012,0,"Fidino"
"Connecticut Warbler",2013,0,"Fidino"
"Connecticut Warbler",2014,0,"Fidino"
"Connecticut Warbler",2015,1,"Fidino"
"Cooper's Hawk",2012,6,"Fidino"
"Cooper's Hawk",2013,12,"Fidino"
"Cooper's Hawk",2014,13,"Fidino"
"Cooper's Hawk",2015,6,"Fidino"
"Dark-eyed Junco",2012,10,"Fidino"
"Dark-eyed Junco",2013,41,"Fidino"
"Dark-eyed Junco",2014,35,"Fidino"
"Dark-eyed Junco",2015,31,"Fidino"
"Double-crested Cormorant",2012,2,"Fidino"
"Double-crested Cormorant",2013,2,"Fidino"
"Double-crested Cormorant",2014,2,"Fidino"
"Double-crested Cormorant",2015,1,"Fidino"
"Downy Woodpecker",2012,19,"Fidino"
"Downy Woodpecker",2013,48,"Fidino"
"Downy Woodpecker",2014,50,"Fidino"
"Downy Woodpecker",2015,33,"Fidino"
"Eastern Bluebird",2012,0,"Fidino"
"Eastern Bluebird",2013,5,"Fidino"
"Eastern Bluebird",2014,1,"Fidino"
"Eastern Bluebird",2015,0,"Fidino"
"Eastern Kingbird",2012,2,"Fidino"
"Eastern Kingbird",2013,6,"Fidino"
"Eastern Kingbird",2014,5,"Fidino"
"Eastern Kingbird",2015,2,"Fidino"
"Eastern Meadowlark",2012,3,"Fidino"
"Eastern Meadowlark",2013,2,"Fidino"
"Eastern Meadowlark",2014,1,"Fidino"
"Eastern Meadowlark",2015,3,"Fidino"
"Eastern Phoebe",2012,6,"Fidino"
"Eastern Phoebe",2013,19,"Fidino"
"Eastern Phoebe",2014,6,"Fidino"
"Eastern Phoebe",2015,7,"Fidino"
"Eastern Towhee",2012,3,"Fidino"
"Eastern Towhee",2013,16,"Fidino"
"Eastern Towhee",2014,12,"Fidino"
"Eastern Towhee",2015,10,"Fidino"
"Eastern Wood-Pewee",2012,2,"Fidino"
"Eastern Wood-Pewee",2013,12,"Fidino"
"Eastern Wood-Pewee",2014,8,"Fidino"
"Eastern Wood-Pewee",2015,7,"Fidino"
"European Starling",2012,49,"Fidino"
"European Starling",2013,64,"Fidino"
"European Starling",2014,54,"Fidino"
"European Starling",2015,46,"Fidino"
"Field Sparrow",2012,5,"Fidino"
"Field Sparrow",2013,21,"Fidino"
"Field Sparrow",2014,11,"Fidino"
"Field Sparrow",2015,4,"Fidino"
"Fox Sparrow",2012,1,"Fidino"
"Fox Sparrow",2013,16,"Fidino"
"Fox Sparrow",2014,10,"Fidino"
"Fox Sparrow",2015,9,"Fidino"
"Gadwall",2012,24,"Fidino"
"Gadwall",2013,19,"Fidino"
"Gadwall",2014,1,"Fidino"
"Gadwall",2015,5,"Fidino"
"Golden-crowned Kinglet",2012,0,"Fidino"
"Golden-crowned Kinglet",2013,8,"Fidino"
"Golden-crowned Kinglet",2014,10,"Fidino"
"Golden-crowned Kinglet",2015,8,"Fidino"
"Golden-winged Warbler",2012,0,"Fidino"
"Golden-winged Warbler",2013,1,"Fidino"
"Golden-winged Warbler",2014,1,"Fidino"
"Golden-winged Warbler",2015,0,"Fidino"
"Gray Catbird",2012,13,"Fidino"
"Gray Catbird",2013,22,"Fidino"
"Gray Catbird",2014,16,"Fidino"
"Gray Catbird",2015,11,"Fidino"
"Gray-cheeked Thrush",2012,1,"Fidino"
"Gray-cheeked Thrush",2013,8,"Fidino"
"Gray-cheeked Thrush",2014,3,"Fidino"
"Gray-cheeked Thrush",2015,1,"Fidino"
"Great Blue Heron",2012,0,"Fidino"
"Great Blue Heron",2013,1,"Fidino"
"Great Blue Heron",2014,9,"Fidino"
"Great Blue Heron",2015,2,"Fidino"
"Great Crested Flycatcher",2012,1,"Fidino"
"Great Crested Flycatcher",2013,6,"Fidino"
"Great Crested Flycatcher",2014,3,"Fidino"
"Great Crested Flycatcher",2015,5,"Fidino"
"Great Horned Owl",2012,0,"Fidino"
"Great Horned Owl",2013,0,"Fidino"
"Great Horned Owl",2014,0,"Fidino"
"Great Horned Owl",2015,1,"Fidino"
"Green Heron",2012,19,"Fidino"
"Green Heron",2013,17,"Fidino"
"Green Heron",2014,14,"Fidino"
"Green Heron",2015,13,"Fidino"
"Hairy Woodpecker",2012,1,"Fidino"
"Hairy Woodpecker",2013,11,"Fidino"
"Hairy Woodpecker",2014,3,"Fidino"
"Hairy Woodpecker",2015,1,"Fidino"
"Henslow's Sparrow",2012,0,"Fidino"
"Henslow's Sparrow",2013,0,"Fidino"
"Henslow's Sparrow",2014,0,"Fidino"
"Henslow's Sparrow",2015,1,"Fidino"
"Hermit Thrush",2012,11,"Fidino"
"Hermit Thrush",2013,19,"Fidino"
"Hermit Thrush",2014,18,"Fidino"
"Hermit Thrush",2015,12,"Fidino"
"Herring Gull",2012,1,"Fidino"
"Herring Gull",2013,22,"Fidino"
"Herring Gull",2014,29,"Fidino"
"Herring Gull",2015,0,"Fidino"
"Hooded Merganser",2012,1,"Fidino"
"Hooded Merganser",2013,22,"Fidino"
"Hooded Merganser",2014,16,"Fidino"
"Hooded Merganser",2015,7,"Fidino"
"Hooded Warbler",2012,2,"Fidino"
"Hooded Warbler",2013,1,"Fidino"
"Hooded Warbler",2014,1,"Fidino"
"Hooded Warbler",2015,1,"Fidino"
"Horned Grebe",2012,0,"Fidino"
"Horned Grebe",2013,14,"Fidino"
"Horned Grebe",2014,0,"Fidino"
"Horned Grebe",2015,0,"Fidino"
"House Finch",2012,9,"Fidino"
"House Finch",2013,23,"Fidino"
"House Finch",2014,17,"Fidino"
"House Finch",2015,15,"Fidino"
"House Sparrow",2012,51,"Fidino"
"House Sparrow",2013,67,"Fidino"
"House Sparrow",2014,56,"Fidino"
"House Sparrow",2015,48,"Fidino"
"House Wren",2012,0,"Fidino"
"House Wren",2013,21,"Fidino"
"House Wren",2014,5,"Fidino"
"House Wren",2015,3,"Fidino"
"Indigo Bunting",2012,7,"Fidino"
"Indigo Bunting",2013,6,"Fidino"
"Indigo Bunting",2014,4,"Fidino"
"Indigo Bunting",2015,4,"Fidino"
"Killdeer",2012,0,"Fidino"
"Killdeer",2013,1,"Fidino"
"Killdeer",2014,0,"Fidino"
"Killdeer",2015,0,"Fidino"
"Least Flycatcher",2012,2,"Fidino"
"Least Flycatcher",2013,7,"Fidino"
"Least Flycatcher",2014,6,"Fidino"
"Least Flycatcher",2015,6,"Fidino"
"LeConte's Sparrow",2012,0,"Fidino"
"LeConte's Sparrow",2013,1,"Fidino"
"LeConte's Sparrow",2014,1,"Fidino"
"LeConte's Sparrow",2015,0,"Fidino"
"Lesser Scaup",2012,1,"Fidino"
"Lesser Scaup",2013,32,"Fidino"
"Lesser Scaup",2014,25,"Fidino"
"Lesser Scaup",2015,12,"Fidino"
"Lincoln's Sparrow",2012,0,"Fidino"
"Lincoln's Sparrow",2013,15,"Fidino"
"Lincoln's Sparrow",2014,10,"Fidino"
"Lincoln's Sparrow",2015,13,"Fidino"
"Long-eared Owl",2012,0,"Fidino"
"Long-eared Owl",2013,0,"Fidino"
"Long-eared Owl",2014,0,"Fidino"
"Long-eared Owl",2015,1,"Fidino"
"Long-tailed Duck",2012,0,"Fidino"
"Long-tailed Duck",2013,1,"Fidino"
"Long-tailed Duck",2014,0,"Fidino"
"Long-tailed Duck",2015,0,"Fidino"
"Louisiana Waterthrush",2012,0,"Fidino"
"Louisiana Waterthrush",2013,1,"Fidino"
"Louisiana Waterthrush",2014,3,"Fidino"
"Louisiana Waterthrush",2015,0,"Fidino"
"Magnolia Warbler",2012,13,"Fidino"
"Magnolia Warbler",2013,12,"Fidino"
"Magnolia Warbler",2014,13,"Fidino"
"Magnolia Warbler",2015,6,"Fidino"
"Mallard",2012,55,"Fidino"
"Mallard",2013,67,"Fidino"
"Mallard",2014,55,"Fidino"
"Mallard",2015,48,"Fidino"
"Marsh Wren",2012,1,"Fidino"
"Marsh Wren",2013,4,"Fidino"
"Marsh Wren",2014,2,"Fidino"
"Marsh Wren",2015,0,"Fidino"
"Mourning Dove",2012,11,"Fidino"
"Mourning Dove",2013,17,"Fidino"
"Mourning Dove",2014,16,"Fidino"
"Mourning Dove",2015,6,"Fidino"
"Mourning Warbler",2012,0,"Fidino"
"Mourning Warbler",2013,6,"Fidino"
"Mourning Warbler",2014,3,"Fidino"
"Mourning Warbler",2015,2,"Fidino"
"Nashville Warbler",2012,2,"Fidino"
"Nashville Warbler",2013,15,"Fidino"
"Nashville Warbler",2014,9,"Fidino"
"Nashville Warbler",2015,2,"Fidino"
"Northern Cardinal",2012,15,"Fidino"
"Northern Cardinal",2013,64,"Fidino"
"Northern Cardinal",2014,53,"Fidino"
"Northern Cardinal",2015,47,"Fidino"
"Northern Flicker",2012,22,"Fidino"
"Northern Flicker",2013,37,"Fidino"
"Northern Flicker",2014,31,"Fidino"
"Northern Flicker",2015,21,"Fidino"
"Northern Mockingbird",2012,0,"Fidino"
"Northern Mockingbird",2013,3,"Fidino"
"Northern Mockingbird",2014,0,"Fidino"
"Northern Mockingbird",2015,0,"Fidino"
"Northern Parula",2012,0,"Fidino"
"Northern Parula",2013,4,"Fidino"
"Northern Parula",2014,2,"Fidino"
"Northern Parula",2015,7,"Fidino"
"Northern Rough-winged Swallow",2012,13,"Fidino"
"Northern Rough-winged Swallow",2013,32,"Fidino"
"Northern Rough-winged Swallow",2014,29,"Fidino"
"Northern Rough-winged Swallow",2015,23,"Fidino"
"Northern Shoveler",2012,10,"Fidino"
"Northern Shoveler",2013,19,"Fidino"
"Northern Shoveler",2014,8,"Fidino"
"Northern Shoveler",2015,0,"Fidino"
"Northern Waterthrush",2012,8,"Fidino"
"Northern Waterthrush",2013,14,"Fidino"
"Northern Waterthrush",2014,18,"Fidino"
"Northern Waterthrush",2015,9,"Fidino"
"Olive-sided Flycatcher",2012,0,"Fidino"
"Olive-sided Flycatcher",2013,1,"Fidino"
"Olive-sided Flycatcher",2014,1,"Fidino"
"Olive-sided Flycatcher",2015,1,"Fidino"
"Orange-crowned Warbler",2012,3,"Fidino"
"Orange-crowned Warbler",2013,3,"Fidino"
"Orange-crowned Warbler",2014,1,"Fidino"
"Orange-crowned Warbler",2015,0,"Fidino"
"Ovenbird",2012,3,"Fidino"
"Ovenbird",2013,10,"Fidino"
"Ovenbird",2014,5,"Fidino"
"Ovenbird",2015,2,"Fidino"
"Palm Warbler",2012,13,"Fidino"
"Palm Warbler",2013,25,"Fidino"
"Palm Warbler",2014,24,"Fidino"
"Palm Warbler",2015,15,"Fidino"
"Philadelphia Vireo",2012,1,"Fidino"
"Philadelphia Vireo",2013,3,"Fidino"
"Philadelphia Vireo",2014,2,"Fidino"
"Philadelphia Vireo",2015,0,"Fidino"
"Pied-billed Grebe",2012,16,"Fidino"
"Pied-billed Grebe",2013,11,"Fidino"
"Pied-billed Grebe",2014,6,"Fidino"
"Pied-billed Grebe",2015,12,"Fidino"
"Pine Siskin",2012,0,"Fidino"
"Pine Siskin",2013,1,"Fidino"
"Pine Siskin",2014,0,"Fidino"
"Pine Siskin",2015,1,"Fidino"
"Pine Warbler",2012,2,"Fidino"
