"species","year","daySeen","observer"
"White-breasted Nuthatch",1900,17,"Walter"
"Common Yellowthroat",1900,10,"Walter"
"Eastern Wood-Pewee",1900,9,"Walter"
"Downy Woodpecker",1900,4,"Walter"
"House Wren",1900,10,"Walter"
"Red-eyed Vireo",1900,5,"Walter"
"Loggerhead Shrike",1900,16,"Walter"
"Indigo Bunting",1900,2,"Walter"
"Black-throated Green Warbler",1900,4,"Walter"
"Blackburnian Warbler",1900,9,"Walter"
"Blackpoll Warbler",1900,8,"Walter"
"Eastern Kingbird",1900,5,"Walter"
"Scarlet Tanager",1900,7,"Walter"
"Ruby-throated Hummingbird",1900,4,"Walter"
"Mourning Dove",1900,6,"Walter"
"Rose-breasted Grosbeak",1900,6,"Walter"
"American Tree Sparrow",1900,10,"Walter"
"Winter Wren",1900,11,"Walter"
"Eastern Meadowlark",1900,7,"Walter"
"Purple Martin",1900,0,"Walter"
"Cape May Warbler",1900,9,"Walter"
"Warbling Vireo",1900,4,"Walter"
"Mourning Warbler",1900,2,"Walter"
"Wilson's Warbler",1900,3,"Walter"
"Yellow-billed Cuckoo",1900,1,"Walter"
"Great Crested Flycatcher",1900,0,"Walter"
"Bobolink",1900,9,"Walter"
"Canada Warbler",1900,6,"Walter"
"Red-winged Blackbird",1900,2,"Walter"
"Wood Thrush",1900,0,"Walter"
"Orchard Oriole",1900,5,"Walter"
"Red-breasted Nuthatch",1900,10,"Walter"
"Northern Harrier",1900,1,"Walter"
"Hairy Woodpecker",1900,4,"Walter"
"Bay-breasted Warbler",1900,2,"Walter"
"Northern Parula",1900,0,"Walter"
"Black-capped Chickadee",1900,7,"Walter"
"Pine Warbler",1900,3,"Walter"
"Henslow's Sparrow",1900,1,"Walter"
"Nashville Warbler",1900,4,"Walter"
"Yellow-throated Vireo",1900,2,"Walter"
"Cedar Waxwing",1900,0,"Walter"
"Purple Finch",1900,4,"Walter"
"Vesper Sparrow",1900,6,"Walter"
"Blue-headed Vireo",1900,2,"Walter"
"Gray-cheeked Thrush",1900,0,"Walter"
"American Kestrel",1900,0,"Walter"
"Yellow-bellied Flycatcher",1900,5,"Walter"
"Common Nighthawk",1900,1,"Walter"
"Lincoln's Sparrow",1900,1,"Walter"
"Black-billed Cuckoo",1900,2,"Walter"
"Rusty Blackbird",1900,0,"Walter"
"Yellow-breasted Chat",1900,0,"Walter"
"Marsh Wren",1900,0,"Walter"
"Louisiana Waterthrush",1900,1,"Walter"
"Prothonotary Warbler",1900,0,"Walter"
"Savannah Sparrow",1900,0,"Walter"
"Golden-winged Warbler",1900,1,"Walter"
"Eastern Whip-poor-will",1900,0,"Walter"
"Connecticut Warbler",1900,0,"Walter"
"Dickcissel",1900,0,"Walter"
"Tennessee Warbler",1900,0,"Walter"
"Northern Mockingbird",1900,0,"Walter"
"Cerulean Warbler",1900,1,"Walter"
"Summer Tanager",1900,0,"Walter"
"Northern Cardinal",1900,1,"Walter"
"Red-bellied Woodpecker",1900,0,"Walter"
"Hooded Warbler",1900,0,"Walter"
"Yellow-headed Blackbird",1900,0,"Walter"
"American Robin",1901,69,"Walter"
"Common Grackle",1901,60,"Walter"
"Blue Jay",1901,65,"Walter"
"Brown-headed Cowbird",1901,44,"Walter"
"Dark-eyed Junco",1901,32,"Walter"
"Eastern Towhee",1901,44,"Walter"
"Song Sparrow",1901,38,"Walter"
"Northern Flicker",1901,33,"Walter"
"Ruby-crowned Kinglet",1901,30,"Walter"
"White-throated Sparrow",1901,31,"Walter"
"Eastern Bluebird",1901,31,"Walter"
"Veery",1901,21,"Walter"
"Yellow-bellied Sapsucker",1901,30,"Walter"
"Yellow Warbler",1901,18,"Walter"
"Belted Kingfisher",1901,27,"Walter"
"Red-headed Woodpecker",1901,26,"Walter"
"Yellow-rumped Warbler",1901,21,"Walter"
"Brown Thrasher",1901,21,"Walter"
"Brown Creeper",1901,14,"Walter"
"Gray Catbird",1901,17,"Walter"
"Golden-crowned Kinglet",1901,26,"Walter"
"Chipping Sparrow",1901,12,"Walter"
"American Goldfinch",1901,20,"Walter"
"Tree Swallow",1901,19,"Walter"
"American Redstart",1901,8,"Walter"
"Barn Swallow",1901,19,"Walter"
"Fox Sparrow",1901,9,"Walter"
"Chimney Swift",1901,15,"Walter"
"Blue-gray Gnatcatcher",1901,10,"Walter"
"White-crowned Sparrow",1901,22,"Walter"
"Palm Warbler",1901,11,"Walter"
"Hermit Thrush",1901,18,"Walter"
"Black-and-white Warbler",1901,13,"Walter"
"Least Flycatcher",1901,14,"Walter"
"Magnolia Warbler",1901,5,"Walter"
"Black-throated Blue Warbler",1901,13,"Walter"
"Swainson's Thrush",1901,16,"Walter"
"Eastern Phoebe",1901,16,"Walter"
"Baltimore Oriole",1901,15,"Walter"
"Northern Waterthrush",1901,14,"Walter"
"Field Sparrow",1901,17,"Walter"
"Swamp Sparrow",1901,12,"Walter"
"American Crow",1901,11,"Walter"
"Chestnut-sided Warbler",1901,13,"Walter"
"Ovenbird",1901,12,"Walter"
"White-breasted Nuthatch",1901,21,"Walter"
"Common Yellowthroat",1901,8,"Walter"
"Eastern Wood-Pewee",1901,6,"Walter"
"Downy Woodpecker",1901,8,"Walter"
"House Wren",1901,11,"Walter"
"Red-eyed Vireo",1901,6,"Walter"
"Loggerhead Shrike",1901,13,"Walter"
"Indigo Bunting",1901,6,"Walter"
"Black-throated Green Warbler",1901,9,"Walter"
"Blackburnian Warbler",1901,7,"Walter"
"Blackpoll Warbler",1901,3,"Walter"
"Eastern Kingbird",1901,3,"Walter"
"Scarlet Tanager",1901,4,"Walter"
"Ruby-throated Hummingbird",1901,3,"Walter"
"Mourning Dove",1901,10,"Walter"
"Rose-breasted Grosbeak",1901,8,"Walter"
"American Tree Sparrow",1901,3,"Walter"
"Winter Wren",1901,0,"Walter"
"Eastern Meadowlark",1901,13,"Walter"
"Purple Martin",1901,6,"Walter"
"Cape May Warbler",1901,2,"Walter"
"Warbling Vireo",1901,3,"Walter"
"Mourning Warbler",1901,4,"Walter"
"Wilson's Warbler",1901,2,"Walter"
"Yellow-billed Cuckoo",1901,3,"Walter"
"Great Crested Flycatcher",1901,1,"Walter"
"Bobolink",1901,10,"Walter"
"Canada Warbler",1901,4,"Walter"
"Red-winged Blackbird",1901,8,"Walter"
"Wood Thrush",1901,5,"Walter"
"Orchard Oriole",1901,1,"Walter"
"Red-breasted Nuthatch",1901,0,"Walter"
"Northern Harrier",1901,8,"Walter"
"Hairy Woodpecker",1901,0,"Walter"
"Bay-breasted Warbler",1901,1,"Walter"
"Northern Parula",1901,2,"Walter"
"Black-capped Chickadee",1901,8,"Walter"
"Pine Warbler",1901,1,"Walter"
"Henslow's Sparrow",1901,2,"Walter"
"Nashville Warbler",1901,1,"Walter"
"Yellow-throated Vireo",1901,2,"Walter"
"Cedar Waxwing",1901,1,"Walter"
"Purple Finch",1901,0,"Walter"
"Vesper Sparrow",1901,0,"Walter"
"Blue-headed Vireo",1901,1,"Walter"
"Gray-cheeked Thrush",1901,0,"Walter"
"American Kestrel",1901,4,"Walter"
"Yellow-bellied Flycatcher",1901,0,"Walter"
"Common Nighthawk",1901,1,"Walter"
"Lincoln's Sparrow",1901,0,"Walter"
"Black-billed Cuckoo",1901,2,"Walter"
"Rusty Blackbird",1901,3,"Walter"
"Yellow-breasted Chat",1901,0,"Walter"
"Marsh Wren",1901,0,"Walter"
"Louisiana Waterthrush",1901,0,"Walter"
"Prothonotary Warbler",1901,0,"Walter"
"Savannah Sparrow",1901,0,"Walter"
"Golden-winged Warbler",1901,1,"Walter"
"Eastern Whip-poor-will",1901,1,"Walter"
"Connecticut Warbler",1901,0,"Walter"
"Dickcissel",1901,1,"Walter"
"Tennessee Warbler",1901,0,"Walter"
"Northern Mockingbird",1901,2,"Walter"
"Cerulean Warbler",1901,0,"Walter"
"Summer Tanager",1901,0,"Walter"
"Northern Cardinal",1901,0,"Walter"
"Red-bellied Woodpecker",1901,0,"Walter"
"Hooded Warbler",1901,0,"Walter"
"Yellow-headed Blackbird",1901,1,"Walter"
"American Robin",1902,61,"Walter"
"Common Grackle",1902,57,"Walter"
"Blue Jay",1902,40,"Walter"
"Brown-headed Cowbird",1902,39,"Walter"
"Dark-eyed Junco",1902,51,"Walter"
"Eastern Towhee",1902,45,"Walter"
"Song Sparrow",1902,37,"Walter"
"Northern Flicker",1902,37,"Walter"
"Ruby-crowned Kinglet",1902,22,"Walter"
"White-throated Sparrow",1902,26,"Walter"
"Eastern Bluebird",1902,35,"Walter"
"Veery",1902,11,"Walter"
"Yellow-bellied Sapsucker",1902,27,"Walter"
"Yellow Warbler",1902,13,"Walter"
"Belted Kingfisher",1902,21,"Walter"
"Red-headed Woodpecker",1902,16,"Walter"
"Yellow-rumped Warbler",1902,22,"Walter"
"Brown Thrasher",1902,16,"Walter"
"Brown Creeper",1902,28,"Walter"
"Gray Catbird",1902,10,"Walter"
"Golden-crowned Kinglet",1902,15,"Walter"
"Chipping Sparrow",1902,17,"Walter"
