"ModernName","Year","arrival","ob","julian"
"Yellow-bellied Sapsucker",2015,2015-04-03,"Fidino",93
"Yellow-billed Cuckoo",2013,2013-05-15,"Fidino",135
"Yellow-breasted Chat",2013,2013-05-20,"Fidino",140
"Yellow-breasted Chat",2014,2014-05-13,"Fidino",133
"Yellow-rumped Warbler",2012,2012-04-20,"Fidino",111
"Yellow-rumped Warbler",2013,2013-04-08,"Fidino",98
"Yellow-rumped Warbler",2014,2014-04-15,"Fidino",105
"Yellow-rumped Warbler",2015,2015-04-10,"Fidino",100
"Yellow-throated Vireo",2012,2012-05-13,"Fidino",134
"Yellow-throated Vireo",2013,2013-05-10,"Fidino",130
"Yellow-throated Vireo",2015,2015-05-09,"Fidino",129
"Yellow-throated Warbler",2014,2014-04-30,"Fidino",120
"Yellow Warbler",2012,2012-05-10,"Fidino",131
"Yellow Warbler",2013,2013-04-30,"Fidino",120
"Yellow Warbler",2014,2014-04-29,"Fidino",119
"Yellow Warbler",2015,2015-05-01,"Fidino",121
"Mourning Dove",1903,1903-04-01,"Walter",91
"Northern Harrier",1899,1899-04-25,"Walter",115
"American Kestrel",1898,1898-05-18,"Walter",138
"Yellow-billed Cuckoo",1898,1898-05-19,"Walter",139
"Black-billed Cuckoo",1899,1899-05-27,"Walter",147
"Belted Kingfisher",1897,1897-03-28,"Walter",87
"Hairy Woodpecker",1898,1898-04-11,"Walter",101
"Downy Woodpecker",1897,1897-04-07,"Walter",97
"Yellow-bellied Sapsucker",1897,1897-04-25,"Walter",115
"Red-bellied Woodpecker",1898,1898-05-22,"Walter",142
"Red-headed Woodpecker",1897,1897-04-26,"Walter",116
"Northern Flicker",1897,1897-04-15,"Walter",105
"Eastern Whip-poor-will",1898,1898-05-21,"Walter",141
"Common Nighthawk",1899,1899-05-10,"Walter",130
"Chimney Swift",1897,1897-05-01,"Walter",121
"Ruby-throated Hummingbird",1898,1898-05-19,"Walter",139
"Eastern Kingbird",1897,1897-04-29,"Walter",119
"Great Crested Flycatcher",1898,1898-05-03,"Walter",123
"Eastern Phoebe",1897,1897-04-07,"Walter",97
"Eastern Wood-Pewee",1897,1897-04-27,"Walter",117
"Yellow-bellied Flycatcher",1900,1900-04-29,"Walter",119
"Least Flycatcher",1897,1897-05-12,"Walter",132
"American Crow",1898,1898-03-09,"Walter",68
"Bobolink",1898,1898-05-14,"Walter",134
"Brown-headed Cowbird",1897,1897-04-04,"Walter",94
"Yellow-headed Blackbird",1901,1901-05-17,"Walter",137
"Red-winged Blackbird",1898,1898-05-07,"Walter",127
"Eastern Meadowlark",1898,1898-03-14,"Walter",73
"Orchard Oriole",1898,1898-05-15,"Walter",135
"Baltimore Oriole",1898,1898-04-30,"Walter",120
"Rusty Blackbird",1900,1900-04-19,"Walter",109
"Common Grackle",1897,1897-03-29,"Walter",88
"Purple Finch",1898,1898-04-24,"Walter",114
"American Goldfinch",1897,1897-04-25,"Walter",115
"Vesper Sparrow",1900,1900-04-22,"Walter",112
"Savannah Sparrow",1903,1903-03-19,"Walter",78
"Henslow's Sparrow",1898,1898-04-29,"Walter",119
"White-crowned Sparrow",1897,1897-05-05,"Walter",125
"White-throated Sparrow",1897,1897-04-26,"Walter",116
"American Tree Sparrow",1900,1900-04-06,"Walter",96
"Chipping Sparrow",1897,1897-04-15,"Walter",105
"Field Sparrow",1899,1899-04-23,"Walter",113
"Dark-eyed Junco",1897,1897-03-28,"Walter",87
"Song Sparrow",1897,1897-04-08,"Walter",98
"Lincoln's Sparrow",1900,1900-05-10,"Walter",130
"Swamp Sparrow",1898,1898-05-07,"Walter",127
"Fox Sparrow",1897,1897-04-08,"Walter",98
"Eastern Towhee",1897,1897-04-07,"Walter",97
"Northern Cardinal",1897,1897-03-28,"Walter",87
"Rose-breasted Grosbeak",1899,1899-05-10,"Walter",130
"Indigo Bunting",1898,1898-05-14,"Walter",134
"Dickcissel",1901,1901-05-16,"Walter",136
"Scarlet Tanager",1898,1898-05-14,"Walter",134
"Summer Tanager",1899,1899-05-04,"Walter",124
"Purple Martin",1898,1898-05-25,"Walter",145
"Barn Swallow",1897,1897-04-18,"Walter",108
"Tree Swallow",1898,1898-05-11,"Walter",131
"Cedar Waxwing",1898,1898-04-11,"Walter",101
"Loggerhead Shrike",1898,1898-03-14,"Walter",73
"Red-eyed Vireo",1898,1898-05-10,"Walter",130
"Warbling Vireo",1897,1897-04-27,"Walter",117
"Yellow-throated Vireo",1898,1898-05-01,"Walter",121
"Blue-headed Vireo",1900,1900-05-17,"Walter",137
"Black-and-white Warbler",1897,1897-04-28,"Walter",118
"Prothonotary Warbler",1899,1899-05-16,"Walter",136
"Golden-winged Warbler",1898,1898-05-14,"Walter",134
"Nashville Warbler",1898,1898-05-10,"Walter",130
"Tennessee Warbler",1898,1898-05-11,"Walter",131
"Northern Parula",1898,1898-05-11,"Walter",131
"Cape May Warbler",1898,1898-05-13,"Walter",133
"Yellow Warbler",1897,1897-05-11,"Walter",131
"Black-throated Blue Warbler",1897,1897-05-11,"Walter",131
"Yellow-rumped Warbler",1897,1897-04-14,"Walter",104
"Magnolia Warbler",1897,1897-04-26,"Walter",116
"Cerulean Warbler",1900,1900-05-12,"Walter",132
"Chestnut-sided Warbler",1897,1897-05-21,"Walter",141
"Bay-breasted Warbler",1898,1898-05-20,"Walter",140
"Blackpoll Warbler",1898,1898-05-19,"Walter",139
"Blackburnian Warbler",1897,1897-05-12,"Walter",132
"Black-throated Green Warbler",1897,1897-04-18,"Walter",108
"Pine Warbler",1900,1900-04-26,"Walter",116
"Palm Warbler",1898,1898-04-29,"Walter",119
"Ovenbird",1897,1897-05-11,"Walter",131
"Northern Waterthrush",1898,1898-04-30,"Walter",120
"Louisiana Waterthrush",1902,1902-04-27,"Walter",117
"Connecticut Warbler",1903,1903-05-20,"Walter",140
"Mourning Warbler",1898,1898-05-20,"Walter",140
"Common Yellowthroat",1897,1897-04-26,"Walter",116
"Yellow-breasted Chat",1902,1902-05-02,"Walter",122
"Hooded Warbler",1903,1903-05-12,"Walter",132
"Wilson's Warbler",1897,1897-05-21,"Walter",141
"Canada Warbler",1898,1898-05-19,"Walter",139
"American Redstart",1897,1897-05-11,"Walter",131
"Northern Mockingbird",1901,1901-04-29,"Walter",119
"Gray Catbird",1897,1897-04-26,"Walter",116
"Brown Thrasher",1897,1897-04-26,"Walter",116
"House Wren",1897,1897-04-14,"Walter",104
"Winter Wren",1897,1897-04-08,"Walter",98
"Marsh Wren",1898,1898-04-14,"Walter",104
"Brown Creeper",1897,1897-04-07,"Walter",97
"White-breasted Nuthatch",1897,1897-04-07,"Walter",97
"Red-breasted Nuthatch",1900,1900-05-03,"Walter",123
"Black-capped Chickadee",1898,1898-04-01,"Walter",91
"Golden-crowned Kinglet",1897,1897-04-07,"Walter",97
"Ruby-crowned Kinglet",1897,1897-04-14,"Walter",104
"Blue-gray Gnatcatcher",1898,1898-04-25,"Walter",115
"Wood Thrush",1897,1897-04-18,"Walter",108
"Veery",1897,1897-05-11,"Walter",131
"Gray-cheeked Thrush",1902,1902-05-21,"Walter",141
"Swainson's Thrush",1898,1898-05-01,"Walter",121
"Hermit Thrush",1898,1898-03-31,"Walter",90
"American Robin",1897,1897-03-28,"Walter",87
"Eastern Bluebird",1897,1897-03-28,"Walter",87
"Mourning Dove",1898,1898-05-09,"Walter",129
"Mourning Dove",1899,1899-03-25,"Walter",84
"Mourning Dove",1900,1900-04-06,"Walter",96
"Mourning Dove",1901,1901-04-10,"Walter",100
"Mourning Dove",1902,1902-04-26,"Walter",116
"Yellow-throated Vireo",1900,1900-05-12,"Walter",132
"Yellow-throated Vireo",1901,1901-05-05,"Walter",125
"Yellow-throated Vireo",1902,1902-04-28,"Walter",118
"Yellow-throated Vireo",1903,1903-05-12,"Walter",132
"Yellow-breasted Chat",1903,1903-05-11,"Walter",131
"Yellow-billed Cuckoo",1899,1899-05-01,"Walter",121
"Yellow-billed Cuckoo",1900,1900-05-16,"Walter",136
"Yellow-billed Cuckoo",1901,1901-05-17,"Walter",137
"Yellow-billed Cuckoo",1902,1902-05-17,"Walter",137
"Yellow-billed Cuckoo",1903,1903-05-12,"Walter",132
"Yellow-bellied Sapsucker",1898,1898-03-30,"Walter",89
"Yellow-bellied Sapsucker",1899,1899-04-08,"Walter",98
"Yellow-bellied Sapsucker",1900,1900-04-06,"Walter",96
"Yellow-bellied Sapsucker",1901,1901-03-19,"Walter",78
"Yellow-bellied Sapsucker",1902,1902-03-27,"Walter",86
"Yellow-bellied Sapsucker",1903,1903-04-01,"Walter",91
"Yellow-bellied Flycatcher",1902,1902-05-01,"Walter",121
"Yellow-bellied Flycatcher",1903,1903-05-12,"Walter",132
"Yellow Warbler",1898,1898-04-30,"Walter",120
"Yellow Warbler",1899,1899-04-29,"Walter",119
"Yellow Warbler",1900,1900-04-30,"Walter",120
"Yellow Warbler",1901,1901-05-06,"Walter",126
"Yellow Warbler",1902,1902-05-02,"Walter",122
"Yellow Warbler",1903,1903-04-29,"Walter",119
"Wood Thrush",1898,1898-05-03,"Walter",123
"Wood Thrush",1899,1899-05-01,"Walter",121
"Wood Thrush",1901,1901-05-04,"Walter",124
"Wood Thrush",1902,1902-04-29,"Walter",119
"Wood Thrush",1903,1903-05-12,"Walter",132
"Eastern Wood-Pewee",1898,1898-05-19,"Walter",139
"Eastern Wood-Pewee",1899,1899-05-10,"Walter",130
"Eastern Wood-Pewee",1900,1900-05-11,"Walter",131
"Eastern Wood-Pewee",1901,1901-05-16,"Walter",136
"Eastern Wood-Pewee",1902,1902-04-28,"Walter",118
"Eastern Wood-Pewee",1903,1903-05-12,"Walter",132
"Winter Wren",1898,1898-04-25,"Walter",115
"Winter Wren",1899,1899-04-30,"Walter",120
"Winter Wren",1901,1901-03-22,"Walter",81
"Winter Wren",1902,1902-04-19,"Walter",109
"Winter Wren",1903,1903-04-08,"Walter",98
"Veery",1898,1898-04-10,"Walter",100
"Veery",1899,1899-04-12,"Walter",102
"Veery",1900,1900-04-07,"Walter",97
"Veery",1901,1901-04-11,"Walter",101
"Veery",1902,1902-04-26,"Walter",116
"Veery",1903,1903-04-08,"Walter",98
"Wilson's Warbler",1898,1898-05-06,"Walter",126
"Wilson's Warbler",1899,1899-05-22,"Walter",142
"Wilson's Warbler",1900,1900-05-10,"Walter",130
"Wilson's Warbler",1901,1901-05-16,"Walter",136
"Wilson's Warbler",1902,1902-05-03,"Walter",123
"Wilson's Warbler",1903,1903-05-17,"Walter",137
"White-throated Sparrow",1898,1898-04-13,"Walter",103
"White-throated Sparrow",1899,1899-04-19,"Walter",109
"White-throated Sparrow",1900,1900-04-21,"Walter",111
"White-throated Sparrow",1901,1901-04-17,"Walter",107
"White-throated Sparrow",1902,1902-03-24,"Walter",83
"White-throated Sparrow",1903,1903-03-21,"Walter",80
"White-crowned Sparrow",1898,1898-05-09,"Walter",129
"White-crowned Sparrow",1899,1899-04-29,"Walter",119
"White-crowned Sparrow",1900,1900-05-02,"Walter",122
"White-crowned Sparrow",1901,1901-04-20,"Walter",110
"White-crowned Sparrow",1902,1902-03-11,"Walter",70
"White-crowned Sparrow",1903,1903-04-29,"Walter",119
"White-breasted Nuthatch",1898,1898-03-29,"Walter",88
"White-breasted Nuthatch",1899,1899-04-11,"Walter",101
"White-breasted Nuthatch",1900,1900-04-02,"Walter",92
"White-breasted Nuthatch",1901,1901-03-18,"Walter",77
"White-breasted Nuthatch",1902,1902-03-31,"Walter",90
"White-breasted Nuthatch",1903,1903-04-02,"Walter",92
"Eastern Whip-poor-will",1899,1899-04-30,"Walter",120
"Eastern Whip-poor-will",1901,1901-05-09,"Walter",129
"Eastern Whip-poor-will",1903,1903-05-17,"Walter",137
"Common Yellowthroat",1898,1898-05-01,"Walter",121
"Common Yellowthroat",1899,1899-04-28,"Walter",118
"Common Yellowthroat",1900,1900-05-05,"Walter",125
"Common Yellowthroat",1901,1901-05-05,"Walter",125
"Common Yellowthroat",1902,1902-05-02,"Walter",122
"Common Yellowthroat",1903,1903-05-01,"Walter",121
"Warbling Vireo",1898,1898-05-15,"Walter",135
"Warbling Vireo",1899,1899-05-12,"Walter",132
"Warbling Vireo",1900,1900-05-06,"Walter",126
"Warbling Vireo",1901,1901-05-11,"Walter",131
"Warbling Vireo",1902,1902-05-07,"Walter",127
"Warbling Vireo",1903,1903-05-05,"Walter",125
"Vesper Sparrow",1902,1902-04-18,"Walter",108
"Vesper Sparrow",1903,1903-04-01,"Walter",91
"Tree Swallow",1899,1899-04-12,"Walter",102
"Tree Swallow",1900,1900-04-18,"Walter",108
"Tree Swallow",1901,1901-04-12,"Walter",102
"Tree Swallow",1902,1902-03-11,"Walter",70
"Tree Swallow",1903,1903-04-01,"Walter",91
"American Tree Sparrow",1901,1901-04-05,"Walter",95
"American Tree Sparrow",1902,1902-03-07,"Walter",66
"American Tree Sparrow",1903,1903-03-13,"Walter",72
"Eastern Towhee",1898,1898-03-17,"Walter",76
"Eastern Towhee",1899,1899-04-11,"Walter",101
"Eastern Towhee",1900,1900-04-07,"Walter",97
"Eastern Towhee",1901,1901-03-25,"Walter",84
"Eastern Towhee",1902,1902-03-10,"Walter",69
"Eastern Towhee",1903,1903-03-18,"Walter",77
"Swamp Sparrow",1899,1899-04-20,"Walter",110
"Swamp Sparrow",1899,1899-04-20,"Walter",110
"Swamp Sparrow",1900,1900-04-21,"Walter",111
"Swamp Sparrow",1902,1902-03-11,"Walter",70
"Swamp Sparrow",1903,1903-04-12,"Walter",102
"American Kestrel",1903,1903-04-30,"Walter",120
"American Kestrel",1902,1902-03-21,"Walter",80
"American Kestrel",1901,1901-03-24,"Walter",83
"American Kestrel",1900,1900-04-18,"Walter",108
"American Kestrel",1899,1899-04-25,"Walter",115
"Song Sparrow",1898,1898-03-15,"Walter",74
"Song Sparrow",1899,1899-03-19,"Walter",78
"Song Sparrow",1900,1900-03-27,"Walter",86
"Song Sparrow",1901,1901-03-18,"Walter",77
"Song Sparrow",1902,1902-03-08,"Walter",67
"Song Sparrow",1903,1903-03-12,"Walter",71
"Scarlet Tanager",1899,1899-05-04,"Walter",124
"Scarlet Tanager",1900,1900-05-02,"Walter",122
"Scarlet Tanager",1901,1901-05-05,"Walter",125
"Scarlet Tanager",1902,1902-05-03,"Walter",123
"Scarlet Tanager",1903,1903-05-05,"Walter",125
"Rusty Blackbird",1901,1901-04-05,"Walter",95
"Rusty Blackbird",1903,1903-03-17,"Walter",76
"Ruby-throated Hummingbird",1899,1899-05-09,"Walter",129
"Ruby-throated Hummingbird",1900,1900-05-13,"Walter",133
"Ruby-throated Hummingbird",1901,1901-05-16,"Walter",136
"Ruby-throated Hummingbird",1902,1902-05-17,"Walter",137
"Ruby-throated Hummingbird",1903,1903-05-13,"Walter",133
"Ruby-crowned Kinglet",1898,1898-04-01,"Walter",91
"Ruby-crowned Kinglet",1899,1899-04-13,"Walter",103
"Ruby-crowned Kinglet",1900,1900-04-07,"Walter",97
"Ruby-crowned Kinglet",1902,1902-04-17,"Walter",107
"Ruby-crowned Kinglet",1902,1902-04-13,"Walter",103
"Ruby-crowned Kinglet",1903,1903-03-19,"Walter",78
"Rose-breasted Grosbeak",1900,1900-05-11,"Walter",131
"Rose-breasted Grosbeak",1901,1901-05-04,"Walter",124
"Rose-breasted Grosbeak",1902,1902-04-28,"Walter",118
"Rose-breasted Grosbeak",1903,1903-05-09,"Walter",129
"American Robin",1898,1898-03-09,"Walter",68
"American Robin",1899,1899-03-04,"Walter",63
"American Robin",1900,1900-03-24,"Walter",83
"American Robin",1901,1901-03-14,"Walter",73
"American Robin",1902,1902-03-10,"Walter",69
"American Robin",1903,1903-03-07,"Walter",66
"Red-winged Blackbird",1900,1900-04-18,"Walter",108
"Red-winged Blackbird",1901,1901-03-22,"Walter",81
"Red-winged Blackbird",1902,1902-03-26,"Walter",85
"Red-winged Blackbird",1903,1903-03-17,"Walter",76
"Red-headed Woodpecker",1898,1898-04-29,"Walter",119
"Red-headed Woodpecker",1899,1899-04-28,"Walter",118
"Red-headed Woodpecker",1900,1900-05-06,"Walter",126
"Red-headed Woodpecker",1901,1901-04-27,"Walter",117
"Red-headed Woodpecker",1902,1902-04-27,"Walter",117
"Red-headed Woodpecker",1903,1903-04-28,"Walter",118
"Red-eyed Vireo",1899,1899-04-29,"Walter",119
"Red-eyed Vireo",1900,1900-05-12,"Walter",132
"Red-eyed Vireo",1901,1901-05-04,"Walter",124
"Red-eyed Vireo",1902,1902-05-02,"Walter",122
"Red-eyed Vireo",1903,1903-05-04,"Walter",124
"Red-breasted Nuthatch",1902,1902-04-22,"Walter",112
"Red-breasted Nuthatch",1903,1903-04-28,"Walter",118
"Purple Martin",1899,1899-05-30,"Walter",150
"Purple Martin",1901,1901-04-27,"Walter",117
"Purple Martin",1902,1902-04-23,"Walter",113
"Purple Martin",1903,1903-04-17,"Walter",107
"Purple Finch",1900,1900-04-15,"Walter",105
"Purple Finch",1902,1902-04-11,"Walter",101
"Purple Finch",1903,1903-04-15,"Walter",105
"Prothonotary Warbler",1902,1902-04-27,"Walter",117
"Prothonotary Warbler",1903,1903-05-19,"Walter",139
"Pine Warbler",1901,1901-04-30,"Walter",120
"Pine Warbler",1902,1902-04-21,"Walter",111
"Pine Warbler",1903,1903-04-22,"Walter",112
"Eastern Phoebe",1898,1898-03-20,"Walter",79
"Eastern Phoebe",1899,1899-04-17,"Walter",107
"Eastern Phoebe",1900,1900-04-01,"Walter",91
"Eastern Phoebe",1901,1901-03-18,"Walter",77
"Eastern Phoebe",1902,1902-03-15,"Walter",74
"Eastern Phoebe",1903,1903-03-17,"Walter",76
"Northern Parula",1901,1901-05-12,"Walter",132
"Northern Parula",1902,1902-05-03,"Walter",123
"Northern Parula",1903,1903-05-09,"Walter",129
"Palm Warbler",1899,1899-04-20,"Walter",110
"Palm Warbler",1900,1900-04-27,"Walter",117
"Palm Warbler",1901,1901-04-26,"Walter",116
"Palm Warbler",1902,1902-04-21,"Walter",111
"Palm Warbler",1903,1903-04-22,"Walter",112
"Ovenbird",1898,1898-05-01,"Walter",121
"Ovenbird",1899,1899-05-03,"Walter",123
"Ovenbird",1900,1900-05-05,"Walter",125
"Ovenbird",1901,1901-05-05,"Walter",125
"Ovenbird",1902,1902-05-01,"Walter",121
"Ovenbird",1903,1903-05-06,"Walter",126
"Orchard Oriole",1899,1899-05-06,"Walter",126
"Orchard Oriole",1900,1900-05-11,"Walter",131
"Orchard Oriole",1901,1901-05-10,"Walter",130
"Orchard Oriole",1902,1902-05-02,"Walter",122
"Orchard Oriole",1903,1903-05-05,"Walter",125
"Swainson's Thrush",1899,1899-05-04,"Walter",124
"Swainson's Thrush",1900,1900-05-08,"Walter",128
"Swainson's Thrush",1901,1901-04-30,"Walter",120
"Swainson's Thrush",1902,1902-04-22,"Walter",112
"Swainson's Thrush",1903,1903-04-29,"Walter",119
"Common Nighthawk",1900,1900-05-13,"Walter",133
"Common Nighthawk",1901,1901-05-18,"Walter",138
"Common Nighthawk",1902,1902-05-18,"Walter",138
"Common Nighthawk",1903,1903-05-18,"Walter",138
"Nashville Warbler",1899,1899-05-04,"Walter",124
"Nashville Warbler",1900,1900-05-09,"Walter",129
"Nashville Warbler",1901,1901-05-19,"Walter",139
"Nashville Warbler",1902,1902-05-02,"Walter",122
"Nashville Warbler",1903,1903-05-01,"Walter",121
"Yellow-rumped Warbler",1898,1898-04-16,"Walter",106
"Yellow-rumped Warbler",1899,1899-04-14,"Walter",104
"Yellow-rumped Warbler",1900,1900-04-19,"Walter",109
"Yellow-rumped Warbler",1901,1901-04-14,"Walter",104
"Yellow-rumped Warbler",1902,1902-04-17,"Walter",107
"Yellow-rumped Warbler",1903,1903-04-08,"Walter",98
"Mourning Warbler",1899,1899-05-13,"Walter",133
"Mourning Warbler",1900,1900-05-06,"Walter",126
"Mourning Warbler",1901,1901-05-16,"Walter",136
"Mourning Warbler",1902,1902-05-02,"Walter",122
"Mourning Warbler",1903,1903-05-11,"Walter",131
"Eastern Meadowlark",1900,1900-03-27,"Walter",86
"Eastern Meadowlark",1901,1901-03-19,"Walter",78
"Eastern Meadowlark",1902,1902-03-10,"Walter",69
"Eastern Meadowlark",1903,1903-03-13,"Walter",72
"Northern Harrier",1900,1900-04-19,"Walter",109
"Northern Harrier",1901,1901-03-25,"Walter",84
"Northern Harrier",1902,1902-04-21,"Walter",111
"Northern Harrier",1903,1903-04-01,"Walter",91
"Magnolia Warbler",1898,1898-05-11,"Walter",131
"Magnolia Warbler",1899,1899-04-27,"Walter",117
"Magnolia Warbler",1900,1900-05-08,"Walter",128
"Magnolia Warbler",1901,1901-05-06,"Walter",126
"Magnolia Warbler",1902,1902-04-21,"Walter",111
"Magnolia Warbler",1903,1903-05-05,"Walter",125
"Louisiana Waterthrush",1903,1903-05-05,"Walter",125
"Marsh Wren",1900,1900-04-12,"Walter",102
"Marsh Wren",1903,1903-03-29,"Walter",88
"Loggerhead Shrike",1899,1899-04-11,"Walter",101
"Loggerhead Shrike",1900,1900-03-09,"Walter",68
"Loggerhead Shrike",1901,1901-03-03,"Walter",62
"Loggerhead Shrike",1902,1902-03-09,"Walter",68
"Loggerhead Shrike",1903,1903-03-01,"Walter",60
"Lincoln's Sparrow",1901,1901-05-23,"Walter",143
"Lincoln's Sparrow",1902,1902-05-12,"Walter",132
"Lincoln's Sparrow",1903,1903-05-10,"Walter",130
"Least Flycatcher",1898,1898-04-30,"Walter",120
"Least Flycatcher",1899,1899-04-20,"Walter",110
"Least Flycatcher",1900,1900-04-30,"Walter",120
"Least Flycatcher",1901,1901-05-06,"Walter",126
"Least Flycatcher",1902,1902-04-21,"Walter",111
"Least Flycatcher",1903,1903-05-09,"Walter",129
"Eastern Kingbird",1898,1898-04-30,"Walter",120
"Eastern Kingbird",1899,1899-05-10,"Walter",130
"Eastern Kingbird",1900,1900-05-06,"Walter",126
"Eastern Kingbird",1901,1901-05-10,"Walter",130
"Eastern Kingbird",1902,1902-04-21,"Walter",111
"Eastern Kingbird",1903,1903-05-05,"Walter",125
"Dark-eyed Junco",1898,1898-03-09,"Walter",68
"Dark-eyed Junco",1899,1899-03-14,"Walter",73
"Dark-eyed Junco",1900,1900-03-23,"Walter",82
"Dark-eyed Junco",1901,1901-03-18,"Walter",77
"Dark-eyed Junco",1902,1902-03-08,"Walter",67
"Dark-eyed Junco",1903,1903-03-13,"Walter",72
"Indigo Bunting",1899,1899-05-10,"Walter",130
"Indigo Bunting",1900,1900-05-21,"Walter",141
"Indigo Bunting",1901,1901-05-10,"Walter",130
"Indigo Bunting",1902,1902-05-02,"Walter",122
"Indigo Bunting",1903,1903-05-06,"Walter",126
"House Wren",1898,1898-05-04,"Walter",124
"House Wren",1899,1899-04-30,"Walter",120
"House Wren",1901,1901-04-21,"Walter",111
"House Wren",1902,1902-04-23,"Walter",113
"House Wren",1903,1903-04-12,"Walter",102
"Hermit Thrush",1899,1899-04-11,"Walter",101
"Hermit Thrush",1900,1900-04-07,"Walter",97
"Hermit Thrush",1901,1901-04-05,"Walter",95
"Hermit Thrush",1902,1902-04-13,"Walter",103
"Hermit Thrush",1903,1903-03-19,"Walter",78
"Henslow's Sparrow",1899,1899-04-26,"Walter",116
"Henslow's Sparrow",1900,1900-04-21,"Walter",111
"Henslow's Sparrow",1901,1901-04-30,"Walter",120
"Henslow's Sparrow",1902,1902-04-24,"Walter",114
"Henslow's Sparrow",1903,1903-04-15,"Walter",105
"Hairy Woodpecker",1899,1899-05-24,"Walter",144
"Hairy Woodpecker",1900,1900-04-19,"Walter",109
"Hairy Woodpecker",1902,1902-03-25,"Walter",84
"Hairy Woodpecker",1903,1903-03-06,"Walter",65
"Northern Waterthrush",1899,1899-04-28,"Walter",118
"Northern Waterthrush",1900,1900-04-23,"Walter",113
"Northern Waterthrush",1901,1901-04-17,"Walter",107
"Northern Waterthrush",1902,1902-04-21,"Walter",111
"Northern Waterthrush",1903,1903-04-29,"Walter",119
"Great Crested Flycatcher",1899,1899-04-30,"Walter",120
"Great Crested Flycatcher",1901,1901-05-11,"Walter",131
"Great Crested Flycatcher",1902,1902-04-21,"Walter",111
"Great Crested Flycatcher",1903,1903-04-29,"Walter",119
"Gray-cheeked Thrush",1903,1903-05-11,"Walter",131
"Golden-crowned Kinglet",1898,1898-03-14,"Walter",73
"Golden-crowned Kinglet",1899,1899-04-11,"Walter",101
"Golden-crowned Kinglet",1900,1900-04-06,"Walter",96
"Golden-crowned Kinglet",1901,1901-04-05,"Walter",95
"Golden-crowned Kinglet",1902,1902-03-28,"Walter",87
"Golden-crowned Kinglet",1903,1903-03-19,"Walter",78
"Fox Sparrow",1898,1898-03-30,"Walter",89
"Fox Sparrow",1899,1899-03-14,"Walter",73
"Fox Sparrow",1900,1900-04-05,"Walter",95
"Fox Sparrow",1901,1901-03-18,"Walter",77
"Fox Sparrow",1902,1902-03-10,"Walter",69
"Fox Sparrow",1903,1903-03-17,"Walter",76
"Northern Flicker",1898,1898-03-25,"Walter",84
"Northern Flicker",1899,1899-04-11,"Walter",101
"Northern Flicker",1900,1900-04-07,"Walter",97
"Northern Flicker",1901,1901-03-23,"Walter",82
"Northern Flicker",1902,1902-03-24,"Walter",83
"Northern Flicker",1903,1903-03-18,"Walter",77
"Field Sparrow",1900,1900-04-17,"Walter",107
"Field Sparrow",1901,1901-04-05,"Walter",95
"Field Sparrow",1902,1902-03-11,"Walter",70
"Field Sparrow",1903,1903-03-19,"Walter",78
"Downy Woodpecker",1898,1898-04-08,"Walter",98
"Downy Woodpecker",1899,1899-03-27,"Walter",86
"Downy Woodpecker",1900,1900-04-25,"Walter",115
"Downy Woodpecker",1901,1901-04-05,"Walter",95
"Downy Woodpecker",1902,1902-03-10,"Walter",69
"Downy Woodpecker",1903,1903-03-06,"Walter",65
"Dickcissel",1902,1902-05-18,"Walter",138
"American Crow",1899,1899-03-26,"Walter",85
"American Crow",1900,1900-03-12,"Walter",71
"American Crow",1901,1901-03-03,"Walter",62
"American Crow",1902,1902-03-06,"Walter",65
"American Crow",1903,1903-03-08,"Walter",67
"Brown-headed Cowbird",1898,1898-03-16,"Walter",75
"Brown-headed Cowbird",1899,1899-04-10,"Walter",100
"Brown-headed Cowbird",1900,1900-04-01,"Walter",91
"Brown-headed Cowbird",1901,1901-03-19,"Walter",78
"Brown-headed Cowbird",1902,1902-03-01,"Walter",60
"Brown-headed Cowbird",1903,1903-03-14,"Walter",73
"Chipping Sparrow",1898,1898-04-13,"Walter",103
"Chipping Sparrow",1899,1899-04-18,"Walter",108
"Chipping Sparrow",1900,1900-04-08,"Walter",98
"Chipping Sparrow",1901,1901-04-08,"Walter",98
"Chipping Sparrow",1902,1902-04-13,"Walter",103
"Chipping Sparrow",1903,1903-04-12,"Walter",102
"Chimney Swift",1898,1898-04-30,"Walter",120
"Chimney Swift",1899,1899-05-11,"Walter",131
"Chimney Swift",1900,1900-04-30,"Walter",120
"Chimney Swift",1901,1901-04-17,"Walter",107
"Chimney Swift",1902,1902-04-22,"Walter",112
"Chimney Swift",1903,1903-05-05,"Walter",125
"Black-capped Chickadee",1900,1900-03-19,"Walter",78
"Black-capped Chickadee",1901,1901-04-13,"Walter",103
"Chestnut-sided Warbler",1898,1898-05-10,"Walter",130
"Chestnut-sided Warbler",1899,1899-05-30,"Walter",150
"Chestnut-sided Warbler",1900,1900-05-03,"Walter",123
"Chestnut-sided Warbler",1901,1901-05-07,"Walter",127
"Chestnut-sided Warbler",1902,1902-05-02,"Walter",122
"Chestnut-sided Warbler",1903,1903-05-09,"Walter",129
"Cedar Waxwing",1899,1899-03-27,"Walter",86
"Cedar Waxwing",1901,1901-05-16,"Walter",136
"Cedar Waxwing",1902,1902-04-24,"Walter",114
"Cedar Waxwing",1903,1903-04-05,"Walter",95
