"ModernName","Year","arrival","ob","julian"
"Black-capped Chickadee",2014,2014-03-03,"Fidino",62
"Black-capped Chickadee",2015,2015-03-03,"Fidino",62
"Black-crowned Night-Heron",2012,2012-03-01,"Fidino",61
"Black-crowned Night-Heron",2013,2013-03-01,"Fidino",60
"Black-crowned Night-Heron",2014,2014-03-21,"Fidino",80
"Black-crowned Night-Heron",2015,2015-03-26,"Fidino",85
"Black-throated Blue Warbler",2013,2013-05-18,"Fidino",138
"Black-throated Blue Warbler",2014,2014-05-13,"Fidino",133
"Black-throated Blue Warbler",2015,2015-05-13,"Fidino",133
"Black-throated Green Warbler",2012,2012-05-18,"Fidino",139
"Black-throated Green Warbler",2013,2013-05-10,"Fidino",130
"Black-throated Green Warbler",2014,2014-05-10,"Fidino",130
"Black-throated Green Warbler",2015,2015-05-04,"Fidino",124
"Blackburnian Warbler",2012,2012-05-13,"Fidino",134
"Blackburnian Warbler",2013,2013-05-14,"Fidino",134
"Blackburnian Warbler",2014,2014-05-10,"Fidino",130
"Blackburnian Warbler",2015,2015-05-14,"Fidino",134
"Blackpoll Warbler",2012,2012-05-12,"Fidino",133
"Blackpoll Warbler",2013,2013-05-10,"Fidino",130
"Blackpoll Warbler",2014,2014-05-11,"Fidino",131
"Blackpoll Warbler",2015,2015-05-12,"Fidino",132
"Blue-gray Gnatcatcher",2012,2012-05-07,"Fidino",128
"Blue-gray Gnatcatcher",2013,2013-04-23,"Fidino",113
"Blue-gray Gnatcatcher",2014,2014-04-23,"Fidino",113
"Blue-gray Gnatcatcher",2015,2015-04-17,"Fidino",107
"Blue-headed Vireo",2013,2013-05-08,"Fidino",128
"Blue-headed Vireo",2014,2014-05-02,"Fidino",122
"Blue-headed Vireo",2015,2015-05-06,"Fidino",126
"Blue Jay",2012,2012-05-08,"Fidino",129
"Blue Jay",2013,2013-05-01,"Fidino",121
"Blue Jay",2014,2014-04-23,"Fidino",113
"Blue Jay",2015,2015-05-07,"Fidino",127
"Blue-winged Teal",2012,2012-04-06,"Fidino",97
"Blue-winged Teal",2013,2013-04-12,"Fidino",102
"Blue-winged Teal",2014,2014-04-11,"Fidino",101
"Blue-winged Teal",2015,2015-05-04,"Fidino",124
"Blue-winged Warbler",2015,2015-05-04,"Fidino",124
"Brewer's Blackbird",2013,2013-05-13,"Fidino",133
"brewsters warbler",2013,2013-05-28,"Fidino",148
"Brown Creeper",2012,2012-03-22,"Fidino",82
"Brown Creeper",2013,2013-04-08,"Fidino",98
"Brown Creeper",2014,2014-03-28,"Fidino",87
"Brown Creeper",2015,2015-04-01,"Fidino",91
"Brown-headed Cowbird",2012,2012-05-10,"Fidino",131
"Brown-headed Cowbird",2013,2013-04-05,"Fidino",95
"Brown-headed Cowbird",2014,2014-04-09,"Fidino",99
"Brown-headed Cowbird",2015,2015-04-08,"Fidino",98
"Brown Thrasher",2012,2012-04-05,"Fidino",96
"Brown Thrasher",2013,2013-04-12,"Fidino",102
"Brown Thrasher",2014,2014-04-07,"Fidino",97
"Brown Thrasher",2015,2015-04-03,"Fidino",93
"Bufflehead",2012,2012-03-20,"Fidino",80
"Bufflehead",2013,2013-03-06,"Fidino",65
"Bufflehead",2014,2014-03-28,"Fidino",87
"Bufflehead",2015,2015-04-06,"Fidino",96
"Canada Goose",2012,2012-03-01,"Fidino",61
"Canada Goose",2013,2013-03-01,"Fidino",60
"Canada Goose",2014,2014-03-03,"Fidino",62
"Canada Goose",2015,2015-03-02,"Fidino",61
"Canada Warbler",2012,2012-05-18,"Fidino",139
"Canada Warbler",2013,2013-05-18,"Fidino",138
"Canada Warbler",2014,2014-05-14,"Fidino",134
"Canada Warbler",2015,2015-05-12,"Fidino",132
"Cape May Warbler",2012,2012-05-08,"Fidino",129
"Cape May Warbler",2013,2013-05-06,"Fidino",126
"Cape May Warbler",2014,2014-05-10,"Fidino",130
"Cape May Warbler",2015,2015-05-08,"Fidino",128
"Caspian Tern",2012,2012-04-09,"Fidino",100
"Caspian Tern",2013,2013-04-05,"Fidino",95
"Caspian Tern",2014,2014-04-21,"Fidino",111
"Caspian Tern",2015,2015-04-30,"Fidino",120
"Cedar Waxwing",2012,2012-05-08,"Fidino",129
"Cedar Waxwing",2013,2013-05-19,"Fidino",139
"Cedar Waxwing",2014,2014-05-10,"Fidino",130
"Cedar Waxwing",2015,2015-05-27,"Fidino",147
"Cerulean Warbler",2014,2014-05-20,"Fidino",140
"Chestnut-sided Warbler",2012,2012-05-09,"Fidino",130
"Chestnut-sided Warbler",2013,2013-05-09,"Fidino",129
"Chestnut-sided Warbler",2014,2014-05-08,"Fidino",128
"Chestnut-sided Warbler",2015,2015-05-12,"Fidino",132
"Chimney Swift",2012,2012-05-09,"Fidino",130
"Chimney Swift",2013,2013-05-09,"Fidino",129
"Chimney Swift",2014,2014-04-30,"Fidino",120
"Chimney Swift",2015,2015-05-04,"Fidino",124
"Chipping Sparrow",2012,2012-05-12,"Fidino",133
"Chipping Sparrow",2013,2013-04-11,"Fidino",101
"Chipping Sparrow",2014,2014-04-18,"Fidino",108
"Chipping Sparrow",2015,2015-04-10,"Fidino",100
"Clay-colored Sparrow",2012,2012-05-10,"Fidino",131
"Clay-colored Sparrow",2013,2013-05-08,"Fidino",128
"Clay-colored Sparrow",2014,2014-04-30,"Fidino",120
"Clay-colored Sparrow",2015,2015-05-04,"Fidino",124
"Cliff Swallow",2014,2014-05-10,"Fidino",130
"Common Goldeneye",2012,2012-03-20,"Fidino",80
"Common Goldeneye",2013,2013-03-01,"Fidino",60
"Common Goldeneye",2014,2014-03-07,"Fidino",66
"Common Goldeneye",2015,2015-03-03,"Fidino",62
"Common Grackle",2012,2012-03-14,"Fidino",74
"Common Grackle",2013,2013-03-12,"Fidino",71
"Common Grackle",2014,2014-03-14,"Fidino",73
"Common Grackle",2015,2015-03-13,"Fidino",72
"Common Merganser",2014,2014-03-17,"Fidino",76
"Common Yellowthroat",2012,2012-05-07,"Fidino",128
"Common Yellowthroat",2013,2013-04-30,"Fidino",120
"Common Yellowthroat",2014,2014-04-30,"Fidino",120
"Common Yellowthroat",2015,2015-05-04,"Fidino",124
"Connecticut Warbler",2015,2015-05-16,"Fidino",136
"Cooper's Hawk",2012,2012-03-05,"Fidino",65
"Cooper's Hawk",2013,2013-03-02,"Fidino",61
"Cooper's Hawk",2014,2014-03-14,"Fidino",73
"Cooper's Hawk",2015,2015-03-03,"Fidino",62
"Dark-eyed Junco",2012,2012-03-12,"Fidino",72
"Dark-eyed Junco",2013,2013-03-01,"Fidino",60
"Dark-eyed Junco",2014,2014-03-03,"Fidino",62
"Dark-eyed Junco",2015,2015-03-03,"Fidino",62
"Double-crested Cormorant",2012,2012-04-27,"Fidino",118
"Double-crested Cormorant",2013,2013-04-04,"Fidino",94
"Double-crested Cormorant",2014,2014-05-19,"Fidino",139
"Double-crested Cormorant",2015,2015-04-24,"Fidino",114
"Downy Woodpecker",2012,2012-03-05,"Fidino",65
"Downy Woodpecker",2013,2013-03-01,"Fidino",60
"Downy Woodpecker",2014,2014-03-07,"Fidino",66
"Downy Woodpecker",2015,2015-03-03,"Fidino",62
"Eastern Bluebird",2013,2013-04-23,"Fidino",113
"Eastern Bluebird",2014,2014-04-29,"Fidino",119
"Eastern Kingbird",2012,2012-05-19,"Fidino",140
"Eastern Kingbird",2013,2013-05-01,"Fidino",121
"Eastern Kingbird",2014,2014-05-11,"Fidino",131
"Eastern Kingbird",2015,2015-05-09,"Fidino",129
"Eastern Meadowlark",2012,2012-03-20,"Fidino",80
"Eastern Meadowlark",2013,2013-04-05,"Fidino",95
"Eastern Meadowlark",2014,2014-04-30,"Fidino",120
"Eastern Meadowlark",2015,2015-03-31,"Fidino",90
"Eastern Phoebe",2012,2012-03-08,"Fidino",68
"Eastern Phoebe",2013,2013-04-01,"Fidino",91
"Eastern Phoebe",2014,2014-03-31,"Fidino",90
"Eastern Phoebe",2015,2015-03-31,"Fidino",90
"Eastern Towhee",2012,2012-05-13,"Fidino",134
"Eastern Towhee",2013,2013-04-08,"Fidino",98
"Eastern Towhee",2014,2014-04-18,"Fidino",108
"Eastern Towhee",2015,2015-04-06,"Fidino",96
"Eastern Wood-Pewee",2012,2012-05-08,"Fidino",129
"Eastern Wood-Pewee",2013,2013-05-10,"Fidino",130
"Eastern Wood-Pewee",2014,2014-05-14,"Fidino",134
"Eastern Wood-Pewee",2015,2015-05-07,"Fidino",127
"European Starling",2012,2012-03-01,"Fidino",61
"European Starling",2013,2013-03-02,"Fidino",61
"European Starling",2014,2014-03-07,"Fidino",66
"European Starling",2015,2015-03-02,"Fidino",61
"Field Sparrow",2012,2012-03-26,"Fidino",86
"Field Sparrow",2013,2013-04-05,"Fidino",95
"Field Sparrow",2014,2014-04-07,"Fidino",97
"Field Sparrow",2015,2015-04-10,"Fidino",100
"Fox Sparrow",2012,2012-05-12,"Fidino",133
"Fox Sparrow",2013,2013-03-13,"Fidino",72
"Fox Sparrow",2014,2014-03-20,"Fidino",79
"Fox Sparrow",2015,2015-03-16,"Fidino",75
"Gadwall",2012,2012-03-01,"Fidino",61
"Gadwall",2013,2013-03-04,"Fidino",63
"Gadwall",2014,2014-05-20,"Fidino",140
"Gadwall",2015,2015-03-24,"Fidino",83
"Golden-crowned Kinglet",2013,2013-04-05,"Fidino",95
"Golden-crowned Kinglet",2014,2014-04-01,"Fidino",91
"Golden-crowned Kinglet",2015,2015-04-01,"Fidino",91
"Golden-winged Warbler",2013,2013-05-14,"Fidino",134
"Golden-winged Warbler",2014,2014-05-19,"Fidino",139
"Gray Catbird",2012,2012-05-07,"Fidino",128
"Gray Catbird",2013,2013-05-01,"Fidino",121
"Gray Catbird",2014,2014-04-30,"Fidino",120
"Gray Catbird",2015,2015-05-04,"Fidino",124
"Gray-cheeked Thrush",2012,2012-05-20,"Fidino",141
"Gray-cheeked Thrush",2013,2013-05-11,"Fidino",131
"Gray-cheeked Thrush",2014,2014-05-11,"Fidino",131
"Gray-cheeked Thrush",2015,2015-05-06,"Fidino",126
"Great Blue Heron",2013,2013-05-13,"Fidino",133
"Great Blue Heron",2014,2014-04-10,"Fidino",100
"Great Blue Heron",2015,2015-04-30,"Fidino",120
"Great Crested Flycatcher",2012,2012-05-19,"Fidino",140
"Great Crested Flycatcher",2013,2013-05-14,"Fidino",134
"Great Crested Flycatcher",2014,2014-05-07,"Fidino",127
"Great Crested Flycatcher",2015,2015-05-04,"Fidino",124
"Great Horned Owl",2015,2015-04-03,"Fidino",93
"Green Heron",2012,2012-04-19,"Fidino",110
"Green Heron",2013,2013-04-30,"Fidino",120
"Green Heron",2014,2014-04-24,"Fidino",114
"Green Heron",2015,2015-04-27,"Fidino",117
"Hairy Woodpecker",2012,2012-05-14,"Fidino",135
"Hairy Woodpecker",2013,2013-03-07,"Fidino",66
"Hairy Woodpecker",2014,2014-03-17,"Fidino",76
"Hairy Woodpecker",2015,2015-03-04,"Fidino",63
"Henslow's Sparrow",2015,2015-04-24,"Fidino",114
"Hermit Thrush",2012,2012-05-08,"Fidino",129
"Hermit Thrush",2013,2013-04-05,"Fidino",95
"Hermit Thrush",2014,2014-04-04,"Fidino",94
"Hermit Thrush",2015,2015-04-10,"Fidino",100
"Herring Gull",2012,2012-03-20,"Fidino",80
"Herring Gull",2013,2013-03-13,"Fidino",72
"Herring Gull",2014,2014-03-03,"Fidino",62
"Hooded Merganser",2012,2012-03-09,"Fidino",69
"Hooded Merganser",2013,2013-03-01,"Fidino",60
"Hooded Merganser",2014,2014-03-03,"Fidino",62
"Hooded Merganser",2015,2015-03-26,"Fidino",85
"Hooded Warbler",2012,2012-05-16,"Fidino",137
"Hooded Warbler",2013,2013-04-16,"Fidino",106
"Hooded Warbler",2014,2014-05-22,"Fidino",142
"Hooded Warbler",2015,2015-05-06,"Fidino",126
"Horned Grebe",2013,2013-03-11,"Fidino",70
"House Finch",2012,2012-05-07,"Fidino",128
"House Finch",2013,2013-03-14,"Fidino",73
"House Finch",2014,2014-03-07,"Fidino",66
"House Finch",2015,2015-03-04,"Fidino",63
"House Sparrow",2012,2012-03-06,"Fidino",66
"House Sparrow",2013,2013-03-01,"Fidino",60
"House Sparrow",2014,2014-03-03,"Fidino",62
"House Sparrow",2015,2015-03-02,"Fidino",61
"House Wren",2013,2013-04-09,"Fidino",99
"House Wren",2014,2014-04-30,"Fidino",120
"House Wren",2015,2015-05-07,"Fidino",127
"Indigo Bunting",2012,2012-05-07,"Fidino",128
"Indigo Bunting",2013,2013-05-14,"Fidino",134
"Indigo Bunting",2014,2014-05-10,"Fidino",130
"Indigo Bunting",2015,2015-05-06,"Fidino",126
"Killdeer",2013,2013-03-20,"Fidino",79
"Least Flycatcher",2012,2012-05-18,"Fidino",139
"Least Flycatcher",2013,2013-05-10,"Fidino",130
"Least Flycatcher",2014,2014-05-10,"Fidino",130
"Least Flycatcher",2015,2015-05-04,"Fidino",124
"LeConte's Sparrow",2013,2013-05-15,"Fidino",135
"LeConte's Sparrow",2014,2014-05-07,"Fidino",127
"Lesser Scaup",2012,2012-03-20,"Fidino",80
"Lesser Scaup",2013,2013-03-01,"Fidino",60
"Lesser Scaup",2014,2014-03-07,"Fidino",66
"Lesser Scaup",2015,2015-03-03,"Fidino",62
"Lincoln's Sparrow",2013,2013-04-22,"Fidino",112
