"","CommonName","Year","ArrivalDate","ob","ArrivalDateJulian"
"161","veery","1899",1899-04-12,"Walter",102
"162","veery","1900",1900-04-07,"Walter",97
"163","veery","1901",1901-04-11,"Walter",101
"164","veery","1902",1902-04-26,"Walter",116
"165","veery","1903",1903-04-08,"Walter",98
"166","wilson black cap warbler","1898",1898-05-06,"Walter",126
"167","wilson black cap warbler","1899",1899-05-22,"Walter",142
"168","wilson black cap warbler","1900",1900-05-10,"Walter",130
"169","wilson black cap warbler","1901",1901-05-16,"Walter",136
"170","wilson black cap warbler","1902",1902-05-03,"Walter",123
"171","wilson black cap warbler","1903",1903-05-17,"Walter",137
"172","white throated sparrow","1898",1898-04-13,"Walter",103
"173","white throated sparrow","1899",1899-04-19,"Walter",109
"174","white throated sparrow","1900",1900-04-21,"Walter",111
"175","white throated sparrow","1901",1901-04-17,"Walter",107
"176","white throated sparrow","1902",1902-03-24,"Walter",83
"177","white throated sparrow","1903",1903-03-21,"Walter",80
"178","white crowned sparrow","1898",1898-05-09,"Walter",129
"179","white crowned sparrow","1899",1899-04-29,"Walter",119
"180","white crowned sparrow","1900",1900-05-02,"Walter",122
"181","white crowned sparrow","1901",1901-04-20,"Walter",110
"182","white crowned sparrow","1902",1902-03-11,"Walter",70
"183","white crowned sparrow","1903",1903-04-29,"Walter",119
"184","white breasted nuthatch","1898",1898-03-29,"Walter",88
"185","white breasted nuthatch","1899",1899-04-11,"Walter",101
"186","white breasted nuthatch","1900",1900-04-02,"Walter",92
"187","white breasted nuthatch","1901",1901-03-18,"Walter",77
"188","white breasted nuthatch","1902",1902-03-31,"Walter",90
"189","white breasted nuthatch","1903",1903-04-02,"Walter",92
"190","eastern whip poor will","1899",1899-04-30,"Walter",120
"191","eastern whip poor will","1901",1901-05-09,"Walter",129
"192","eastern whip poor will","1903",1903-05-17,"Walter",137
"193","common yellowthroat","1898",1898-05-01,"Walter",121
"194","common yellowthroat","1899",1899-04-28,"Walter",118
"195","common yellowthroat","1900",1900-05-05,"Walter",125
"196","common yellowthroat","1901",1901-05-05,"Walter",125
"197","common yellowthroat","1902",1902-05-02,"Walter",122
"198","common yellowthroat","1903",1903-05-01,"Walter",121
"199","warbling vireo","1898",1898-05-15,"Walter",135
"200","warbling vireo","1899",1899-05-12,"Walter",132
"201","warbling vireo","1900",1900-05-06,"Walter",126
"202","warbling vireo","1901",1901-05-11,"Walter",131
"203","warbling vireo","1902",1902-05-07,"Walter",127
"204","warbling vireo","1903",1903-05-05,"Walter",125
"205","vesper sparrow","1902",1902-04-18,"Walter",108
"206","vesper sparrow","1903",1903-04-01,"Walter",91
"207","tree swallow","1899",1899-04-12,"Walter",102
"208","tree swallow","1900",1900-04-18,"Walter",108
"209","tree swallow","1901",1901-04-12,"Walter",102
"210","tree swallow","1902",1902-03-11,"Walter",70
"211","tree swallow","1903",1903-04-01,"Walter",91
"212","american tree sparrow","1901",1901-04-05,"Walter",95
"213","american tree sparrow","1902",1902-03-07,"Walter",66
"214","american tree sparrow","1903",1903-03-13,"Walter",72
"215","eastern towhee","1898",1898-03-17,"Walter",76
"216","eastern towhee","1899",1899-04-11,"Walter",101
"217","eastern towhee","1900",1900-04-07,"Walter",97
"218","eastern towhee","1901",1901-03-25,"Walter",84
"219","eastern towhee","1902",1902-03-10,"Walter",69
"220","eastern towhee","1903",1903-03-18,"Walter",77
"221","swamp sparrow","1899",1899-04-20,"Walter",110
"222","swamp sparrow","1899",1899-04-20,"Walter",110
"223","swamp sparrow","1900",1900-04-21,"Walter",111
"224","swamp sparrow","1902",1902-03-11,"Walter",70
"225","swamp sparrow","1903",1903-04-12,"Walter",102
