"","ModernName","Year","DaysSeen"
"370","lesser scaup",2013,32
"371","lesser scaup",2014,25
"372","lesser scaup",2015,12
"373","lincoln's sparrow",2012,0
"374","lincoln's sparrow",2013,15
"375","lincoln's sparrow",2014,10
"376","lincoln's sparrow",2015,13
"377","long eared owl",2012,0
"378","long eared owl",2013,0
"379","long eared owl",2014,0
"380","long eared owl",2015,1
"381","long tailed duck",2012,0
"382","long tailed duck",2013,1
"383","long tailed duck",2014,0
"384","long tailed duck",2015,0
"385","louisiana water thrush",2012,0
"386","louisiana water thrush",2013,1
"387","louisiana water thrush",2014,3
"388","louisiana water thrush",2015,0
"389","magnolia warbler",2012,13
"390","magnolia warbler",2013,12
"391","magnolia warbler",2014,13
"392","magnolia warbler",2015,6
"393","mallard",2012,55
"394","mallard",2013,67
"395","mallard",2014,55
"396","mallard",2015,48
"397","marsh wren",2012,1
"398","marsh wren",2013,4
"399","marsh wren",2014,2
"400","marsh wren",2015,0
"401","mourning dove",2012,11
"402","mourning dove",2013,17
"403","mourning dove",2014,16
"404","mourning dove",2015,6
"405","mourning warbler",2012,0
"406","mourning warbler",2013,6
"407","mourning warbler",2014,3
"408","mourning warbler",2015,2
"409","nashville warbler",2012,2
"410","nashville warbler",2013,15
"411","nashville warbler",2014,9
"412","nashville warbler",2015,2
"413","northern cardinal",2012,15
"414","northern cardinal",2013,64
"415","northern cardinal",2014,53
"416","northern cardinal",2015,47
"417","northern flicker",2012,22
"418","northern flicker",2013,37
"419","northern flicker",2014,31
"420","northern flicker",2015,21
"421","northern mockingbird",2012,0
"422","northern mockingbird",2013,3
"423","northern mockingbird",2014,0
"424","northern mockingbird",2015,0
"425","northern parula",2012,0
"426","northern parula",2013,4
"427","northern parula",2014,2
"428","northern parula",2015,7
"429","northern rough winged swallow",2012,13
"430","northern rough winged swallow",2013,32
"431","northern rough winged swallow",2014,29
"432","northern rough winged swallow",2015,23
"433","northern shoveler",2012,10
"434","northern shoveler",2013,19
"435","northern shoveler",2014,8
"436","northern shoveler",2015,0
"437","northern waterthrush",2012,8
"438","northern waterthrush",2013,14
"439","northern waterthrush",2014,18
"440","northern waterthrush",2015,9
"441","olive sided flycatcher",2012,0
"442","olive sided flycatcher",2013,1
"443","olive sided flycatcher",2014,1
"444","olive sided flycatcher",2015,1
"445","orange crowned warbler",2012,3
"446","orange crowned warbler",2013,3
"447","orange crowned warbler",2014,1
"448","orange crowned warbler",2015,0
"449","ovenbird",2012,3
"450","ovenbird",2013,10
"451","ovenbird",2014,5
"452","ovenbird",2015,2
"453","palm warbler",2012,13
"454","palm warbler",2013,25
"455","palm warbler",2014,24
"456","palm warbler",2015,15
"457","philadelphia vireo",2012,1
"458","philadelphia vireo",2013,3
"459","philadelphia vireo",2014,2
"460","philadelphia vireo",2015,0
"461","pied billed grebe",2012,16
"462","pied billed grebe",2013,11
"463","pied billed grebe",2014,6
"464","pied billed grebe",2015,12
"465","pine siskin",2012,0
"466","pine siskin",2013,1
"467","pine siskin",2014,0
"468","pine siskin",2015,1
"469","pine warbler",2012,2
"470","pine warbler",2013,4
"471","pine warbler",2014,1
"472","pine warbler",2015,0
"473","prothonotary warbler",2012,0
"474","prothonotary warbler",2013,1
"475","prothonotary warbler",2014,0
"476","prothonotary warbler",2015,2
"477","red bellied woodpecker",2012,2
"478","red bellied woodpecker",2013,17
"479","red bellied woodpecker",2014,0
"480","red bellied woodpecker",2015,14
"481","red breasted merganser",2012,0
"482","red breasted merganser",2013,18
"483","red breasted merganser",2014,32
"484","red breasted merganser",2015,4
"485","red breasted nuthatch",2012,1
"486","red breasted nuthatch",2013,18
"487","red breasted nuthatch",2014,2
"488","red breasted nuthatch",2015,0
"489","red eyed vireo",2012,2
"490","red eyed vireo",2013,3
"491","red eyed vireo",2014,6
"492","red eyed vireo",2015,7
"493","red headed woodpecker",2012,0
"494","red headed woodpecker",2013,7
"495","red headed woodpecker",2014,2
"496","red headed woodpecker",2015,0
"497","red tailed hawk",2012,0
"498","red tailed hawk",2013,0
"499","red tailed hawk",2014,1
"500","red tailed hawk",2015,0
"501","red winged blackbird",2012,53
"502","red winged blackbird",2013,64
"503","red winged blackbird",2014,55
"504","red winged blackbird",2015,43
"505","redhead",2012,0
"506","redhead",2013,8
"507","redhead",2014,12
"508","redhead",2015,13
"509","redstart",2012,1
"510","redstart",2013,0
"511","redstart",2014,0
"512","redstart",2015,0
"513","ring billed gull",2012,47
"514","ring billed gull",2013,65
"515","ring billed gull",2014,52
"516","ring billed gull",2015,44
"517","ring necked duck",2012,0
"518","ring necked duck",2013,0
"519","ring necked duck",2014,2
"520","ring necked duck",2015,0
"521","rock pigeon",2012,16
"522","rock pigeon",2013,65
"523","rock pigeon",2014,38
"524","rock pigeon",2015,40
"525","rose breasted grosbeak",2012,1
"526","rose breasted grosbeak",2013,9
"527","rose breasted grosbeak",2014,3
"528","rose breasted grosbeak",2015,5
"529","ruby crowned kinglet",2012,0
"530","ruby crowned kinglet",2013,32
"531","ruby crowned kinglet",2014,21
"532","ruby crowned kinglet",2015,25
"533","ruby throated hummingbird",2012,2
"534","ruby throated hummingbird",2013,5
"535","ruby throated hummingbird",2014,1
"536","ruby throated hummingbird",2015,0
"537","ruddy duck",2012,0
"538","ruddy duck",2013,0
"539","ruddy duck",2014,0
"540","ruddy duck",2015,2
"541","rusty blackbird",2012,0
"542","rusty blackbird",2013,0
"543","rusty blackbird",2014,0
"544","rusty blackbird",2015,1
"545","savannah sparrow",2012,5
"546","savannah sparrow",2013,10
"547","savannah sparrow",2014,9
"548","savannah sparrow",2015,4
"549","scarlet tanager",2012,4
"550","scarlet tanager",2013,6
"551","scarlet tanager",2014,9
"552","scarlet tanager",2015,2
"553","song sparrow",2012,36
"554","song sparrow",2013,48
"555","song sparrow",2014,46
"556","song sparrow",2015,40
"557","sora",2012,4
"558","sora",2013,1
"559","sora",2014,0
"560","sora",2015,0
"561","spotted sandpiper",2012,3
"562","spotted sandpiper",2013,3
"563","spotted sandpiper",2014,9
"564","spotted sandpiper",2015,1
"565","summer tanager",2012,0
"566","summer tanager",2013,0
"567","summer tanager",2014,0
"568","summer tanager",2015,1
"569","swainson's thrush",2012,2
"570","swainson's thrush",2013,9
"571","swainson's thrush",2014,11
"572","swainson's thrush",2015,12
"573","swamp sparrow",2012,0
"574","swamp sparrow",2013,30
"575","swamp sparrow",2014,22
"576","swamp sparrow",2015,19
"577","tennessee warbler",2012,0
"578","tennessee warbler",2013,3
"579","tennessee warbler",2014,0
"580","tennessee warbler",2015,0
"581","tree swallow",2012,2
"582","tree swallow",2013,8
"583","tree swallow",2014,0
"584","tree swallow",2015,4
"585","veery",2012,0
"586","veery",2013,7
"587","veery",2014,1
"588","veery",2015,4
"589","vesper sparrow",2012,0
"590","vesper sparrow",2013,6
"591","vesper sparrow",2014,0
"592","vesper sparrow",2015,2
"593","virginia rail",2012,0
"594","virginia rail",2013,1
"595","virginia rail",2014,0
"596","virginia rail",2015,0
"597","warbling vireo",2012,13
"598","warbling vireo",2013,15
"599","warbling vireo",2014,12
"600","warbling vireo",2015,9
"601","white breasted nuthatch",2012,0
"602","white breasted nuthatch",2013,3
"603","white breasted nuthatch",2014,0
"604","white breasted nuthatch",2015,1
"605","white crowned sparrow",2012,14
"606","white crowned sparrow",2013,22
"607","white crowned sparrow",2014,18
"608","white crowned sparrow",2015,12
"609","white throated sparrow",2012,11
"610","white throated sparrow",2013,26
"611","white throated sparrow",2014,21
"612","white throated sparrow",2015,18
"613","willow flycatcher",2012,4
"614","willow flycatcher",2013,4
"615","willow flycatcher",2014,2
"616","willow flycatcher",2015,7
"617","wilson's warbler",2012,7
"618","wilson's warbler",2013,14
"619","wilson's warbler",2014,6
"620","wilson's warbler",2015,8
"621","winter wren",2012,0
"622","winter wren",2013,3
"623","winter wren",2014,0
"624","winter wren",2015,1
"625","wood duck",2012,37
"626","wood duck",2013,60
"627","wood duck",2014,45
"628","wood duck",2015,39
"629","wood thrush",2012,0
"630","wood thrush",2013,4
"631","wood thrush",2014,5
"632","wood thrush",2015,2
"633","yellow bellied flycatcher",2012,1
"634","yellow bellied flycatcher",2013,4
"635","yellow bellied flycatcher",2014,8
"636","yellow bellied flycatcher",2015,4
"637","yellow bellied sapsucker",2012,0
"638","yellow bellied sapsucker",2013,11
"639","yellow bellied sapsucker",2014,12
"640","yellow bellied sapsucker",2015,18
"641","yellow billed cuckoo",2012,0
"642","yellow billed cuckoo",2013,2
"643","yellow billed cuckoo",2014,0
"644","yellow billed cuckoo",2015,0
"645","yellow breasted chat",2012,0
"646","yellow breasted chat",2013,1
"647","yellow breasted chat",2014,1
"648","yellow breasted chat",2015,0
"649","yellow rumped warbler",2012,14
"650","yellow rumped warbler",2013,33
"651","yellow rumped warbler",2014,28
"652","yellow rumped warbler",2015,17
"653","yellow throated vireo",2012,1
"654","yellow throated vireo",2013,5
"655","yellow throated vireo",2014,0
"656","yellow throated vireo",2015,1
"657","yellow throated warbler",2012,0
"658","yellow throated warbler",2013,0
"659","yellow throated warbler",2014,2
"660","yellow throated warbler",2015,0
"661","yellow warbler",2012,11
"662","yellow warbler",2013,22
"663","yellow warbler",2014,18
"664","yellow warbler",2015,14
