"","Date","species_seen"
"587",2014-05-08,57
"588",2014-05-10,55
"589",2014-05-11,53
"590",2014-05-12,53
"591",2014-05-13,59
"592",2014-05-14,55
"593",2014-05-16,35
"594",2014-05-17,42
"595",2014-05-18,50
"596",2014-05-19,51
"597",2014-05-20,48
"598",2014-05-22,47
"599",2014-05-23,44
"600",2014-05-27,29
"601",2014-05-28,31
"602",2014-05-30,30
"603",2015-03-02,9
"604",2015-03-03,15
"605",2015-03-04,19
"606",2015-03-06,12
"607",2015-03-09,15
"608",2015-03-10,17
"609",2015-03-11,18
"610",2015-03-12,18
"611",2015-03-13,21
"612",2015-03-16,22
"613",2015-03-17,19
"614",2015-03-18,18
"615",2015-03-19,20
"616",2015-03-24,18
"617",2015-03-26,20
"618",2015-03-30,20
"619",2015-03-31,21
"620",2015-04-01,25
"621",2015-04-03,28
"622",2015-04-06,31
"623",2015-04-07,25
"624",2015-04-08,31
"625",2015-04-10,41
"626",2015-04-13,1
"627",2015-04-14,30
"628",2015-04-15,31
"629",2015-04-16,35
"630",2015-04-17,35
"631",2015-04-20,34
"632",2015-04-21,30
"633",2015-04-22,30
"634",2015-04-24,33
"635",2015-04-27,30
"636",2015-04-28,32
"637",2015-04-30,32
"638",2015-05-01,31
"639",2015-05-04,47
"640",2015-05-06,52
"641",2015-05-07,48
"642",2015-05-08,56
"643",2015-05-09,50
"644",2015-05-12,49
"645",2015-05-13,47
"646",2015-05-14,47
"647",2015-05-15,51
"648",2015-05-16,56
"649",2015-05-26,38
"650",2015-05-27,35
"651",2015-05-29,31
