"ID","BooksCommonName","Date"
251,"Ruby-crowned Kinglet",4/7/1900 0:00:00
252,"Ruby-crowned Kinglet",4/17/1902 0:00:00
253,"Ruby-crowned Kinglet",4/13/1902 0:00:00
254,"Ruby-crowned Kinglet",3/19/1903 0:00:00
255,"Rose-breasted Grosbeak",5/11/1900 0:00:00
256,"Rose-breasted Grosbeak",5/4/1901 0:00:00
257,"Rose-breasted Grosbeak",4/28/1902 0:00:00
258,"Rose-breasted Grosbeak",5/9/1903 0:00:00
259,"Robin",3/9/1898 0:00:00
260,"Robin",3/4/1899 0:00:00
261,"Robin",3/24/1900 0:00:00
262,"Robin",3/14/1901 0:00:00
263,"Robin",3/10/1902 0:00:00
264,"Robin",3/7/1903 0:00:00
265,"Red-winged Blackbird",4/18/1900 0:00:00
266,"Red-winged Blackbird",3/22/1901 0:00:00
267,"Red-winged Blackbird",3/26/1902 0:00:00
268,"Red-winged Blackbird",3/17/1903 0:00:00
269,"Red-headed Woodpecker",4/29/1898 0:00:00
270,"Red-headed Woodpecker",4/28/1899 0:00:00
271,"Red-headed Woodpecker",5/6/1900 0:00:00
272,"Red-headed Woodpecker",4/27/1901 0:00:00
273,"Red-headed Woodpecker",4/27/1902 0:00:00
274,"Red-headed Woodpecker",4/28/1903 0:00:00
275,"Red-eyed Vireo",4/29/1899 0:00:00
276,"Red-eyed Vireo",5/12/1900 0:00:00
277,"Red-eyed Vireo",5/4/1901 0:00:00
278,"Red-eyed Vireo",5/2/1902 0:00:00
279,"Red-eyed Vireo",5/4/1903 0:00:00
280,"Red-breasted Nuthatch",4/22/1902 0:00:00
281,"Red-breasted Nuthatch",4/28/1903 0:00:00
282,"Purple Martin",5/30/1899 0:00:00
283,"Purple Martin",4/27/1901 0:00:00
284,"Purple Martin",4/23/1902 0:00:00
285,"Purple Martin",4/17/1903 0:00:00
286,"Purple Finch",4/15/1900 0:00:00
287,"Purple Finch",4/11/1902 0:00:00
288,"Purple Finch",4/15/1903 0:00:00
289,"Prothonotary Warbler",4/27/1902 0:00:00
290,"Prothonotary Warbler",5/19/1903 0:00:00
291,"Pine Warbler",4/30/1901 0:00:00
292,"Pine Warbler",4/21/1902 0:00:00
293,"Pine Warbler",4/22/1903 0:00:00
294,"Phoebe",3/20/1898 0:00:00
295,"Phoebe",4/17/1899 0:00:00
296,"Phoebe",4/1/1900 0:00:00
297,"Phoebe",3/18/1901 0:00:00
298,"Phoebe",3/15/1902 0:00:00
299,"Phoebe",3/17/1903 0:00:00
300,"Parula Warbler",5/12/1901 0:00:00
301,"Parula Warbler",5/3/1902 0:00:00
302,"Parula Warbler",5/9/1903 0:00:00
303,"Palm Warbler",4/20/1899 0:00:00
304,"Palm Warbler",4/27/1900 0:00:00
305,"Palm Warbler",4/26/1901 0:00:00
306,"Palm Warbler",4/21/1902 0:00:00
307,"Palm Warbler",4/22/1903 0:00:00
308,"Ovenbird",5/1/1898 0:00:00
309,"Ovenbird",5/3/1899 0:00:00
310,"Ovenbird",5/5/1900 0:00:00
311,"Ovenbird",5/5/1901 0:00:00
312,"Ovenbird",5/1/1902 0:00:00
313,"Ovenbird",5/6/1903 0:00:00
314,"Orchard Oriole",5/6/1899 0:00:00
315,"Orchard Oriole",5/11/1900 0:00:00
316,"Orchard Oriole",5/10/1901 0:00:00
317,"Orchard Oriole",5/2/1902 0:00:00
318,"Orchard Oriole",5/5/1903 0:00:00
319,"Olive-backed Thrush",5/4/1899 0:00:00
320,"Olive-backed Thrush",5/8/1900 0:00:00
321,"Olive-backed Thrush",4/30/1901 0:00:00
322,"Olive-backed Thrush",4/22/1902 0:00:00
323,"Olive-backed Thrush",4/29/1903 0:00:00
324,"Nighthawk",5/13/1900 0:00:00
325,"Nighthawk",5/18/1901 0:00:00
326,"Nighthawk",5/18/1902 0:00:00
327,"Nighthawk",5/18/1903 0:00:00
328,"Nashville Warbler",5/4/1899 0:00:00
329,"Nashville Warbler",5/9/1900 0:00:00
330,"Nashville Warbler",5/19/1901 0:00:00
331,"Nashville Warbler",5/2/1902 0:00:00
332,"Nashville Warbler",5/1/1903 0:00:00
333,"Myrtle Warbler",4/16/1898 0:00:00
334,"Myrtle Warbler",4/14/1899 0:00:00
335,"Myrtle Warbler",4/19/1900 0:00:00
336,"Myrtle Warbler",4/14/1901 0:00:00
337,"Myrtle Warbler",4/17/1902 0:00:00
338,"Myrtle Warbler",4/8/1903 0:00:00
339,"Mourning Warbler",5/13/1899 0:00:00
340,"Mourning Warbler",5/6/1900 0:00:00
341,"Mourning Warbler",5/16/1901 0:00:00
342,"Mourning Warbler",5/2/1902 0:00:00
343,"Mourning Warbler",5/11/1903 0:00:00
344,"Meadowlark",3/27/1900 0:00:00
345,"Meadowlark",3/19/1901 0:00:00
346,"Meadowlark",3/10/1902 0:00:00
347,"Meadowlark",3/13/1903 0:00:00
348,"Marsh Hawk",4/19/1900 0:00:00
349,"Marsh Hawk",3/25/1901 0:00:00
350,"Marsh Hawk",4/21/1902 0:00:00
351,"Marsh Hawk",4/1/1903 0:00:00
352,"Magnolia Warbler",5/11/1898 0:00:00
353,"Magnolia Warbler",4/27/1899 0:00:00
354,"Magnolia Warbler",5/8/1900 0:00:00
355,"Magnolia Warbler",5/6/1901 0:00:00
356,"Magnolia Warbler",4/21/1902 0:00:00
357,"Magnolia Warbler",5/5/1903 0:00:00
358,"Louisiana Water-Thrush",5/5/1903 0:00:00
359,"Long-billed Marsh Wren",4/12/1900 0:00:00
360,"Long-billed Marsh Wren",3/29/1903 0:00:00
361,"Loggerhead Shrike",4/11/1899 0:00:00
362,"Loggerhead Shrike",3/9/1900 0:00:00
363,"Loggerhead Shrike",3/3/1901 0:00:00
364,"Loggerhead Shrike",3/9/1902 0:00:00
365,"Loggerhead Shrike",3/1/1903 0:00:00
366,"Lincoln Sparrow",5/23/1901 0:00:00
367,"Lincoln Sparrow",5/12/1902 0:00:00
368,"Lincoln Sparrow",5/10/1903 0:00:00
369,"Least Flycatcher",4/30/1898 0:00:00
370,"Least Flycatcher",4/20/1899 0:00:00
371,"Least Flycatcher",4/30/1900 0:00:00
372,"Least Flycatcher",5/6/1901 0:00:00
373,"Least Flycatcher",4/21/1902 0:00:00
374,"Least Flycatcher",5/9/1903 0:00:00
375,"Kingbird",4/30/1898 0:00:00
