species,habitat,food,nesting,behavior,conservation,status,order,family
Green Heron,Marshes,Fish,Tree,Stalking,Common Bird in Steep Decline,Breeding,Pelecaniformes,Ardeidae
Hairy Woodpecker,Forests,Insects,Cavity,Bark Forager,Low Concern,Year-round,Piciformes,Picidae
Harris's Sparrow,Forests,Seeds,Ground,Ground Forager,Declining,Out of range,Passeriformes,Passerellidae
Henslow's Sparrow,Grasslands,Insects,Ground,Ground Forager,Restricted Range,Breeding,Passeriformes,Passerellidae
Hermit Thrush,Open Woodlands,Insects,Ground,Ground Forager,Low Concern,Migrating,Passeriformes,Turdidae
Herring Gull,Shorelines,Omnivore,Ground,Ground Forager,Common Bird in Steep Decline,Wintering,Charadriiformes,Laridae
Hooded Merganser,Lakes and Ponds,Fish,Cavity,Surface Dive,Low Concern,Year-round,Anseriformes,Anatidae
Hooded Warbler,Forests,Insects,Shrub,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Parulidae
Horned Grebe,Lakes and Ponds,Aquatic invertebrates,Floating,Surface Dive,Low Concern,Migrating,Podicipediformes,Podicipedidae
Horned Lark,Grasslands,Seeds,Ground,Ground Forager,Common Bird in Steep Decline,Year-round,Passeriformes,Alaudidae
House Finch,Towns,Seeds,Tree,Ground Forager,Low Concern,Year-round,Passeriformes,Fringillidae
House Sparrow,Towns,Omnivore,Cavity,Ground Forager,Low Concern,Year-round,Passeriformes,Passeridae
House Wren,Open Woodlands,Insects,Cavity,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Troglodytidae
Indigo Bunting,Open Woodlands,Insects,Shrub,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Cardinalidae
Killdeer,Grasslands,Insects,Ground,Ground Forager,Low Concern,Breeding,Charadriiformes,Charadriidae
King Rail,Marshes,Aquatic invertebrates,Ground,Probing,Declining,Breeding,Gruiformes,Rallidae
Lapland Longspur,Grasslands,Insects,Ground,Ground Forager,Low Concern,Nonbreeding,Passeriformes,Calcariidae
Least Flycatcher,Forests,Insects,Tree,Flycatching,Common Bird in Steep Decline,Breeding,Passeriformes,Tyrannidae
LeConte's Sparrow,Grasslands,Insects,Ground,Ground Forager,Declining,Migrating,Passeriformes,Passerellidae
Lesser Scaup,Lakes and Ponds,Aquatic invertebrates,Ground,Surface Dive,Low Concern,Wintering,Anseriformes,Anatidae
Lincoln's Sparrow,Scrub,Insects,Ground,Ground Forager,Low Concern,Migrating,Passeriformes,Passerellidae
Loggerhead Shrike,Open Woodlands,Insects,Tree,Aerial Dive (ground/talons),Common Bird in Steep Decline,Out of range,Passeriformes,Laniidae
Long-eared Owl,Forests,Mammals,Tree,Aerial Dive (ground/talons),Declining,Nonbreeding,Strigiformes,Strigidae
Long-tailed Duck,Lakes and Ponds,Aquatic invertebrates,Ground,Surface Dive,Common Bird in Steep Decline,Out of range,Anseriformes,Anatidae
Louisiana Waterthrush,Rivers and Streams,Insects,Ground,Ground Forager,Low Concern,Breeding,Passeriformes,Parulidae
Magnolia Warbler,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
Mallard,Lakes and Ponds,Omnivore,Ground,Dabbler,Low Concern,Year-round,Anseriformes,Anatidae
Marsh Wren,Marshes,Insects,Shrub,Ground Forager,Low Concern,Breeding,Passeriformes,Troglodytidae
Mourning Dove,Open Woodlands,Seeds,Tree,Ground Forager,Low Concern,Year-round,Columbiformes,Columbidae
Mourning Warbler,Forests,Insects,Ground,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
Nashville Warbler,Forests,Insects,Ground,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
Northern Cardinal,Open Woodlands,Seeds,Shrub,Ground Forager,Low Concern,Year-round,Passeriformes,Cardinalidae
Northern Flicker,Open Woodlands,Insects,Cavity,Ground Forager,Low Concern,Year-round,Piciformes,Picidae
Northern Harrier,Grasslands,Mammals,Ground,Aerial Dive (ground/talons),Low Concern,Nonbreeding,Accipitriformes,Accipitridae
Northern Mockingbird,Towns,Omnivore,Shrub,Ground Forager,Low Concern,Breeding,Passeriformes,Mimidae
Northern Parula,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
Northern Rough-winged Swallow,Rivers and Streams,Insects,Burrow,Aerial Forager,Low Concern,Breeding,Passeriformes,Hirundinidae
Northern Shoveler,Marshes,Omnivore,Ground,Dabbler,Low Concern,Migrating,Anseriformes,Anatidae
Northern Waterthrush,Forests,Insects,Ground,Ground Forager,Low Concern,Migrating,Passeriformes,Parulidae
Olive-sided Flycatcher,Open Woodlands,Insects,Tree,Flycatching,Declining,Out of range,Passeriformes,Tyrannidae
Orange-crowned Warbler,Forests,Insects,Ground,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
Orchard Oriole,Open Woodlands,Insects,Tree,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Icteridae
Ovenbird,Forests,Insects,Ground,Ground Forager,Low Concern,Breeding,Passeriformes,Parulidae
Palm Warbler,Open Woodlands,Insects,Ground,Ground Forager,Low Concern,Migrating,Passeriformes,Parulidae
Philadelphia Vireo,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Vireonidae
Pied-billed Grebe,Lakes and Ponds,Aquatic invertebrates,Floating,Surface Dive,Low Concern,Breeding,Podicipediformes,Podicipedidae
Pine Siskin,Open Woodlands,Seeds,Tree,Foliage Gleaner,Common Bird in Steep Decline,Nonbreeding,Passeriformes,Fringillidae
Pine Warbler,Forests,Insects,Tree,Bark Forager,Low Concern,Migrating,Passeriformes,Parulidae
Prairie Warbler,Scrub,Insects,Shrub,Foliage Gleaner,Declining,Out of range,Passeriformes,Parulidae
Prothonotary Warbler,Forests,Insects,Cavity,Foliage Gleaner,Declining,Breeding,Passeriformes,Parulidae
Purple Finch,Forests,Seeds,Tree,Foliage Gleaner,Low Concern,Nonbreeding,Passeriformes,Fringillidae
Purple Martin,Lakes and Ponds,Insects,Cavity,Aerial Forager,Low Concern,Breeding,Passeriformes,Hirundinidae
Red-bellied Woodpecker,Forests,Insects,Cavity,Bark Forager,Low Concern,Year-round,Piciformes,Picidae
Red-breasted Merganser,Lakes and Ponds,Fish,Ground,Surface Dive,Low Concern,Migrating,Anseriformes,Anatidae
Red-breasted Nuthatch,Forests,Insects,Cavity,Bark Forager,Low Concern,Nonbreeding,Passeriformes,Sittidae
Red-eyed Vireo,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Vireonidae
Red-headed Woodpecker,Open Woodlands,Omnivore,Cavity,Flycatching,Declining,Breeding,Piciformes,Picidae
Red-tailed Hawk,Open Woodlands,Small Animals,Tree,Soaring (raptor),Low Concern,Year-round,Accipitriformes,Accipitridae
Red-throated Loon,Lakes and Ponds,Fish,Ground,Surface Dive,Low Concern,Migrating,Gaviiformes,Gaviidae
Red-winged Blackbird,Marshes,Insects,Shrub,Ground Forager,Low Concern,Year-round,Passeriformes,Icteridae
Redhead,Lakes and Ponds,Plants,Floating,Surface Dive,Low Concern,Nonbreeding,Anseriformes,Anatidae
Ring-billed Gull,Lakes and Ponds,Omnivore,Ground,Ground Forager,Low Concern,Migrating,Charadriiformes,Laridae
Ring-necked Duck,Lakes and Ponds,Plants,Ground,Surface Dive,Low Concern,Migrating,Anseriformes,Anatidae
Rock Pigeon,Towns,Seeds,Building,Ground Forager,Low Concern,Year-round,Columbiformes,Columbidae
Rose-breasted Grosbeak,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Cardinalidae
Ruby-crowned Kinglet,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Regulidae
Ruby-throated Hummingbird,Open Woodlands,Nectar,Tree,Hovering,Low Concern,Breeding,Caprimulgiformes,Trochilidae
Ruddy Duck,Marshes,Aquatic invertebrates,Ground,Surface Dive,Low Concern,Nonbreeding,Anseriformes,Anatidae
Rusty Blackbird,Forests,Insects,Tree,Ground Forager,Common Bird in Steep Decline,Nonbreeding,Passeriformes,Icteridae
Sanderling,Shorelines,Aquatic invertebrates,Ground,Probing,Low Concern,Migrating,Charadriiformes,Scolopacidae
Savannah Sparrow,Grasslands,Insects,Ground,Ground Forager,Low Concern,Breeding,Passeriformes,Passerellidae
Scarlet Tanager,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Cardinalidae
Sharp-shinned Hawk,Forests,Birds,Tree,Aerial Dive (ground/talons),Low Concern,Nonbreeding,Accipitriformes,Accipitridae
Solitary Sandpiper,Marshes,Aquatic invertebrates,Tree,Probing,Low Concern,Migrating,Charadriiformes,Scolopacidae
Song Sparrow,Open Woodlands,Insects,Shrub,Ground Forager,Low Concern,Year-round,Passeriformes,Passerellidae
Sora,Marshes,Seeds,Floating,Ground Forager,Low Concern,Breeding,Gruiformes,Rallidae
Spotted Sandpiper,Shorelines,Small Animals,Ground,Probing,Low Concern,Breeding,Charadriiformes,Scolopacidae
Summer Tanager,Open Woodlands,Insects,Tree,Foliage Gleaner,Low Concern,Out of range,Passeriformes,Cardinalidae
Swainson's Thrush,Forests,Insects,Shrub,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Turdidae
Swamp Sparrow,Marshes,Insects,Shrub,Ground Forager,Low Concern,Year-round,Passeriformes,Passerellidae
Tennessee Warbler,Forests,Insects,Ground,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
